word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-inf,nan,-inf,-inf,-inf,-inf,1.1428571428571428,nan,1.0789473684210527,nan,1,1,1,1
b O r,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.0263157894736843,1.0,1,1,1,1
b O s,3,-inf,nan,-inf,-inf,-inf,-inf,1.0714285714285714,nan,1.0526315789473684,nan,1,1,1,1
b U n,3,-inf,nan,-inf,-inf,-inf,-inf,1.3095238095238095,nan,1.174185463659148,nan,1,1,1.0016949152542374,1.0
b u r,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.0263157894736843,1.0,1,1,1,1
b U s,3,-inf,nan,-inf,-inf,-inf,-inf,1.2380952380952381,nan,1.1478696741854637,nan,1,1,1.0016949152542374,1.0
b W r,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.050125313283208,1.0,1,1,1.0016949152542374,1.0
C e D,3,-inf,-inf,-inf,-inf,-inf,-inf,1,1,1,1,1,1,1,1
C i D,3,-inf,-inf,-inf,-inf,-inf,-inf,1,1,1,1,1,1,1,1
C O b,3,-inf,-inf,-inf,-inf,-inf,-inf,1,1,1,1,1,1,1,1
C O g,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.0263157894736843,1.0,1,1,1,1
C O v,3,-inf,-inf,-inf,-inf,-inf,-inf,1,1,1,1,1,1,1,1
C u D,3,-inf,-inf,-inf,-inf,-inf,-inf,1,1,1,1,1,1,1,1
C u S,3,-inf,-inf,-inf,-inf,-inf,-inf,1,1,1,1,1,1,1,1
C u T,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.0263157894736843,1.0,1,1,1,1
D e C,3,-inf,-inf,-inf,-inf,-inf,-inf,1,1,1,1,1,1,1,1
D e D,3,-inf,-inf,-inf,-inf,-inf,-inf,1,1,1,1,1,1,1,1
D e J,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.0263157894736843,1.0,1,1,1,1
D e S,3,-inf,-inf,-inf,-inf,-inf,-inf,1,1,1,1,1,1,1,1
D i C,3,-inf,-inf,-inf,-inf,-inf,-inf,1,1,1,1,1,1,1,1
D i D,3,-inf,-inf,-inf,-inf,-inf,-inf,1,1,1,1,1,1,1,1
D i S,3,-inf,-inf,-inf,-inf,-inf,-inf,1,1,1,1,1,1,1,1
D i T,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.0263157894736843,1.0,1,1,1,1
d u r,3,-inf,nan,-inf,nan,-inf,nan,1.0555555555555556,nan,1.073934837092732,nan,1,1,1,1
D W C,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.0238095238095237,1.0,1,1,1,1
D W D,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.0238095238095237,1.0,1,1,1,1
D W T,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.050125313283208,1.0,1,1,1.0016949152542374,1.0
f U n,3,-inf,nan,-inf,-inf,-inf,-inf,1.3095238095238095,nan,1.174185463659148,nan,1,1,1.0016949152542374,1.0
f u r,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.0263157894736843,1.0,1,1,1,1
f U s,3,-inf,nan,-inf,-inf,-inf,-inf,1.2380952380952381,nan,1.1478696741854637,nan,1,1,1.0016949152542374,1.0
f W r,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.050125313283208,1.0,1,1,1.0016949152542374,1.0
f ^ r,3,-inf,nan,-inf,-inf,-inf,-inf,1.2222222222222223,nan,1.1453634085213034,nan,1,1,1.0016949152542374,1.0
g U n,3,-8.492536133749338,nan,-inf,nan,-11.490319873036398,nan,1.5317460317460319,nan,1.293233082706767,nan,1.0555555555555556,nan,1.0050619186212408,nan
g U S,3,-inf,nan,-inf,nan,-inf,nan,1.388888888888889,nan,1.2142857142857144,nan,1.0555555555555556,nan,1.0033670033670035,nan
g U T,3,-9.591148422417447,nan,-inf,nan,-11.416211900882676,nan,1.388888888888889,nan,1.2406015037593987,nan,1.0555555555555556,nan,1.0050619186212408,nan
g W C,3,-inf,nan,-inf,nan,-inf,nan,1.2222222222222223,nan,1.1428571428571428,nan,1,1,1.0016835016835017,1.0
g W D,3,-inf,nan,-inf,nan,-inf,nan,1.2222222222222223,nan,1.1428571428571428,nan,1,1,1.0016835016835017,1.0
g W T,3,-10.689760711085558,nan,-inf,nan,-12.0352511092889,nan,1.2222222222222223,nan,1.169172932330827,nan,1,1,1.003378416937739,1.0
g ^ r,3,-9.303466349965667,nan,-inf,nan,-11.451303220693946,nan,1.4444444444444446,nan,1.2644110275689224,nan,1.0555555555555556,nan,1.0050619186212408,nan
h U n,3,-inf,nan,-inf,-inf,-inf,-inf,1.3095238095238095,nan,1.174185463659148,nan,1,1,1.0016949152542374,1.0
h u r,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.0263157894736843,1.0,1,1,1,1
h U s,3,-inf,nan,-inf,-inf,-inf,-inf,1.2380952380952381,nan,1.1478696741854637,nan,1,1,1.0016949152542374,1.0
h W r,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.050125313283208,1.0,1,1,1.0016949152542374,1.0
J O b,3,-inf,nan,-inf,nan,-inf,nan,1.0555555555555556,nan,1.0476190476190477,nan,1,1,1,1
J ^ r,3,-10.689760711085558,nan,-inf,nan,-12.25839466060311,nan,1.2777777777777777,nan,1.192982456140351,nan,1.0555555555555556,nan,1.0050619186212408,nan
k E G,3,-10.284295602977393,nan,-inf,nan,-12.954190849334632,nan,1.2380952380952381,nan,1.1716791979949874,nan,1,1,1.003378416937739,1.0
k E S,3,-inf,nan,-inf,nan,-inf,nan,1.1666666666666667,nan,1.119047619047619,nan,1,1,1.0016835016835017,1.0
k i b,3,-inf,nan,-inf,nan,-inf,nan,1.0555555555555556,nan,1.0476190476190477,nan,1,1,1,1
k i C,3,-inf,nan,-inf,nan,-inf,nan,1.0555555555555556,nan,1.0476190476190477,nan,1,1,1,1
k i D,3,-inf,nan,-inf,nan,-inf,nan,1.0555555555555556,nan,1.0476190476190477,nan,1,1,1,1
k i r,3,-inf,nan,-inf,nan,-inf,nan,1.0555555555555556,nan,1.073934837092732,nan,1,1,1,1
k u f,3,-inf,nan,-inf,nan,-inf,nan,1.0555555555555556,nan,1.0476190476190477,nan,1,1,1,1
k U m,3,-9.185683314309284,nan,-inf,nan,-11.929686532820245,nan,1.3650793650793651,nan,1.2218045112781954,nan,1,1,1.003378416937739,1.0
k U n,3,-8.78021820620112,nan,-inf,nan,-13.06466646565923,nan,1.3650793650793651,nan,1.2218045112781954,nan,1,1,1.003378416937739,1.0
k U p,3,-9.878830494869229,nan,-inf,nan,-12.990558493505507,nan,1.2222222222222223,nan,1.169172932330827,nan,1,1,1.003378416937739,1.0
k u r,3,-inf,nan,-inf,nan,-inf,nan,1.0555555555555556,nan,1.073934837092732,nan,1,1,1,1
l U n,3,-8.269392582435128,nan,-inf,nan,-12.035047048478072,nan,1.4206349206349207,nan,1.2456140350877192,nan,1.0555555555555556,nan,1.0050619186212408,nan
l R l,3,-inf,nan,-inf,nan,-inf,nan,1.1825396825396826,nan,1.1240601503759398,nan,1,1,1,1
m W l,3,-9.773469979211402,nan,-inf,nan,-12.330036540261638,nan,1.0714285714285714,nan,1.1002506265664158,nan,1,1,1.003378416937739,1.0
m W r,3,-11.382907891645504,nan,-inf,-inf,-13.573230057740854,-inf,1,1,1.0739348370927317,1.0,1,1,1.003378416937739,1.0
m W t,3,-9.43699774259019,nan,-inf,nan,-11.141812092903841,nan,1.2857142857142856,nan,1.1791979949874685,nan,1,1,1.003378416937739,1.0
n c n,3,-9.878830494869229,nan,-inf,nan,-12.990558493505507,nan,1.1984126984126984,nan,1.150375939849624,nan,1,1,1.003378416937739,1.0
n W C,3,-inf,nan,-inf,nan,-inf,nan,1.0555555555555556,nan,1.0714285714285714,nan,1,1,1.0016835016835017,1.0
n W D,3,-inf,nan,-inf,nan,-inf,nan,1.0555555555555556,nan,1.0714285714285714,nan,1,1,1.0016835016835017,1.0
n ^ r,3,-9.591148422417447,nan,-inf,nan,-13.025649813316777,nan,1.2777777777777777,nan,1.192982456140351,nan,1,1,1.003378416937739,1.0
p c k,3,-10.977442783537338,nan,-inf,nan,-11.817838232683677,nan,1.126984126984127,nan,1.1240601503759398,nan,1,1,1.003378416937739,1.0
p c p,3,-12.076055072205449,nan,-inf,nan,-12.842342549198063,nan,1.0555555555555556,nan,1.0977443609022557,nan,1,1,1.003378416937739,1.0
p c s,3,-11.382907891645504,nan,-inf,nan,-12.88008287718091,nan,1.126984126984127,nan,1.1240601503759398,nan,1,1,1.003378416937739,1.0
p O l,3,-inf,nan,-inf,nan,-inf,nan,1.126984126984127,nan,1.100250626566416,nan,1,1,1,1
