word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
g U n,3,-8.438480617241304,,-inf,,-11.61739358255932,,1.542735042735043,,1.288249694002448,,1.0555555555555556,,1.0046778180258096,
g U T,3,-9.537092905909413,,-inf,,-11.545934618577174,,1.388888888888889,,1.2356181150550796,,1.0555555555555556,,1.0046778180258096,
g W T,3,-10.635705194577522,,-inf,,-12.167622835154974,,1.2222222222222223,,1.1658506731946146,,1.0,1.0,1.003122608072466,1.0
g ^ r,3,-9.537092905909413,,-inf,,-11.545934618577174,,1.388888888888889,,1.2356181150550796,,1.0555555555555556,,1.0046778180258096,
J ^ r,3,-10.923387267029304,,-inf,,-12.356864834793504,,1.2222222222222223,,1.1658506731946146,,1.0555555555555556,,1.0046778180258096,
k E G,3,-10.635705194577522,,-inf,-inf,-13.744435520272996,-inf,1.188034188034188,,1.1456548347613218,,1.0,1.0,1.003122608072466,1.0
k i r,3,-11.328852375137467,,-inf,-inf,-13.708067876102124,-inf,1.0555555555555556,,1.0960832313341495,,1.0,1.0,1.003122608072466,1.0
k U m,3,-10.230240086469358,,-inf,,-13.086379659524322,,1.2435897435897436,,1.1689106487148102,,1.0,1.0,1.003122608072466,1.0
k U n,3,-9.131627797801247,,-inf,-inf,-13.850985804066411,-inf,1.3205128205128207,,1.1952264381884945,,1.0,1.0,1.003122608072466,1.0
k U p,3,-10.230240086469358,,-inf,-inf,-13.779526840084268,-inf,1.1666666666666667,,1.142594859241126,,1.0,1.0,1.003122608072466,1.0
l U n,3,-8.215337065927093,,-inf,,-12.161009029148302,,1.431623931623932,,1.241738066095471,,1.0555555555555556,,1.0046778180258096,
m W l,3,-10.412561643263311,,-inf,,-12.423556209292176,,1.0769230769230769,,1.0991432068543452,,1.0,1.0,1.003122608072466,1.0
m W r,3,-12.021999555697413,,-inf,-inf,-13.671700231931249,-inf,1.0,1.0,1.0728274173806611,1.0,1.0,1.0,1.003122608072466,1.0
m W t,3,-10.0760894066421,,-inf,,-11.23331359777814,,1.3076923076923077,,1.1780905752753978,,1.0,1.0,1.003122608072466,1.0
n c n,3,-9.824774978361194,,-inf,,-13.121470979335594,,1.2094017094017095,,1.148714810281518,,1.0,1.0,1.003122608072466,1.0
n ^ r,3,-9.824774978361194,,-inf,,-13.121470979335593,,1.2222222222222223,,1.1658506731946146,,1.0,1.0,1.003122608072466,1.0
p c k,3,-11.328852375137467,,-inf,,-11.91630840687407,,1.1324786324786325,,1.1223990208078336,,1.0,1.0,1.003122608072466,1.0
p c p,3,-12.021999555697413,,-inf,,-12.978553051371303,,1.0555555555555556,,1.0960832313341495,,1.0,1.0,1.003122608072466,1.0
p c s,3,-10.923387267029304,,-inf,,-13.050012015353447,,1.1324786324786325,,1.1223990208078336,,1.0,1.0,1.003122608072466,1.0
p U m,3,-10.923387267029304,,-inf,,-11.663717654233558,,1.2991452991452992,,1.1921664626682986,,1.0555555555555556,,1.0046778180258096,
p U n,3,-9.824774978361194,,-inf,,-12.428323798775647,,1.376068376068376,,1.218482252141983,,1.0555555555555556,,1.0046778180258096,
p U p,3,-10.923387267029304,,-inf,,-12.356864834793504,,1.2222222222222223,,1.1658506731946146,,1.0555555555555556,,1.0046778180258096,
p U s,3,-9.824774978361194,,-inf,,-12.428323798775647,,1.2991452991452992,,1.1921664626682986,,1.0555555555555556,,1.0046778180258096,
r U n,3,-9.824774978361194,,-inf,,-13.121470979335594,,1.376068376068376,,1.218482252141983,,1.0,1.0,1.003122608072466,1.0
r W r,3,-12.021999555697413,,-inf,,-12.978553051371303,,1.0555555555555556,,1.0960832313341495,,1.0,1.0,1.003122608072466,1.0
s c p,3,-10.923387267029304,,-inf,,-12.644546907245283,,1.1111111111111112,,1.1193390452876375,,1.0,1.0,1.003122608072466,1.0
s U g,3,-8.438480617241304,,-inf,,-12.821366386885256,,1.277777777777778,,1.1891064871481027,,1.0,1.0,1.003122608072466,1.0
s U k,3,-9.131627797801247,,-inf,,-10.96061404617025,,1.3547008547008548,,1.2154222766217868,,1.0769230769230769,,1.0046900061915882,
s U m,3,-9.824774978361194,,-inf,,-12.022858690667483,,1.3547008547008548,,1.2154222766217868,,1.0,1.0,1.003122608072466,1.0
s U n,3,-8.726162689693084,,-inf,,-12.787464835209574,,1.431623931623932,,1.241738066095471,,1.0,1.0,1.003122608072466,1.0
s U p,3,-9.824774978361194,,-inf,,-12.716005871227429,,1.277777777777778,,1.1891064871481027,,1.0,1.0,1.003122608072466,1.0
s U s,3,-8.726162689693084,,-inf,,-12.787464835209574,,1.3547008547008548,,1.2154222766217868,,1.0,1.0,1.003122608072466,1.0
s W l,3,-9.313949354595202,,-inf,,-11.39640288460621,,1.188034188034188,,1.1456548347613218,,1.0,1.0,1.003122608072466,1.0
s W t,3,-8.97747711797399,,-inf,,-10.206160273092175,,1.4188034188034189,,1.2246022031823744,,1.0,1.0,1.003122608072466,1.0
T c g,3,-10.635705194577522,,-inf,,-13.08391356702913,,1.0555555555555556,,1.0960832313341495,,1.0,1.0,1.003122608072466,1.0
