word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.36797256609385,nan,-9.957524417954085,nan,-10.22358849564629,nan,1.1553177101921175,nan,1.1540006357768529,nan,1.0082351312771214,nan,1.0053932522478222,nan
b i l,3,-9.725040813064648,nan,-10.064652470848303,nan,-10.28686511609726,nan,1.1826402993241534,nan,1.1808051698706543,nan,1.007420704899343,nan,1.004888942063126,nan
b i s,3,-9.688045225388052,nan,-10.39116667878398,nan,-10.571041400413876,nan,1.1597469724853808,nan,1.1583386306737136,nan,1.0044981525369467,nan,1.0032101507928406,nan
b R s,3,-10.187502121547283,nan,-9.827171261487177,nan,-10.065102698221281,nan,1.138922677474535,nan,1.1378608149740548,nan,1.0054723366577456,nan,1.0037697478829357,nan
b Y s,3,-10.312375451428691,nan,-10.780290933071145,nan,-10.94252265570644,nan,1.1436949117478536,nan,1.1425536477385598,nan,1.0027095420383694,nan,1.002146243518049,nan
b ^ l,3,-9.511974249700796,nan,-8.715605693785877,nan,-8.987836115816666,nan,1.219082815593134,nan,1.216641347345057,nan,1.0145218943126455,nan,1.0091261421938253,nan
C @ l,3,-10.957561497189268,nan,-12.960143351540996,nan,-12.743508838706799,nan,1.1416795488189342,nan,1.1405148451149347,nan,1.0033563918417892,nan,1.0024813289684955,nan
C i D,3,-12.522389151814554,nan,-12.899040297780756,nan,-13.370893934308617,nan,1.0754804623542822,nan,1.0755411765318716,nan,1.0039578078955405,nan,1.0029119232793267,nan
C i n,3,-10.579033282564339,nan,-10.088805975924608,nan,-10.485173347588185,nan,1.1500055475953928,nan,1.1486769317899979,nan,1.0088287284995345,nan,1.0057099087298023,nan
C R J,3,-12.665171104035053,nan,-12.239734700679627,nan,-12.590518386414264,nan,1.0561174435246345,nan,1.0564973952490389,nan,1.001301518438178,nan,1.0013252768513727,nan
C R g,3,-11.972023923475108,nan,-12.304273221817198,nan,-12.49157843855936,nan,1.0678076529742204,nan,1.067969670583647,nan,1.001301518438178,nan,1.0013252768513727,nan
C R T,3,-13.076905825156814,nan,-11.509546248439333,nan,-12.131325673272745,nan,1.0541690752830368,nan,1.0545853493599375,nan,1.0017886104985774,nan,1.0016050753964203,nan
C ^ J,3,-11.95264764451197,nan,-14.251541144332972,nan,-14.169006052807262,nan,1.113384254804461,nan,1.1128113884231003,nan,1.0013547710191846,nan,1.001343705819839,nan
C ^ n,3,-10.365966719200486,nan,-10.370865410775412,nan,-10.685448465331207,nan,1.1864480638643733,nan,1.1845131092644006,nan,1.0135320725291699,nan,1.0083386694460281,nan
