word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-12.881718133873834,nan,-12.424835862455216,nan,-12.672710007774784,nan,1.0837237457891624,nan,1.0836555375075358,nan,1.0013410771816607,nan,1.0013355383571656,nan
g i T,3,-12.172096664428294,nan,-11.976330915700236,nan,-12.42020999511891,nan,1.08607093024217,nan,1.0859608581558797,nan,1.0018223091354626,nan,1.0016133933168767,nan
z i T,3,-11.97087847374305,nan,-12.556696906176272,nan,-12.972606937468692,nan,1.072093801906719,nan,1.0722108581558796,nan,1.0018223091354626,nan,1.0016133933168767,nan
y c g,3,-13.264941749374245,nan,-12.7207076740591,nan,-12.850502939641215,nan,1.063301869651292,nan,1.0635363381871576,nan,1.001392386521533,nan,1.0013534505042956,nan
l R z,3,-10.448357851123975,nan,-11.401664139874386,nan,-11.568977983353466,nan,1.0942257143932899,nan,1.0939345687433153,nan,1.0018223091354626,nan,1.0016133933168767,nan
J Y p,3,-11.679805616029363,nan,-13.192313205771367,nan,-13.03897043868266,nan,1.0867413819924807,nan,1.0865540967895386,nan,1.00331731433674,nan,1.0024648703431396,nan
C ^ z,3,-11.067558357249768,nan,-10.67332369424823,nan,-11.060162606437427,nan,1.1353679064268476,nan,1.1343935187080791,nan,1.0071671699671538,nan,1.004687710020828,nan
C e J,3,-12.606567647770813,nan,-12.090425884106557,nan,-12.591515210270499,nan,1.0700850471394017,nan,1.0702327582878028,nan,1.0026821543633215,nan,1.0021332789420392,nan
z i S,3,-11.277731293183106,nan,-13.072162909498765,nan,-13.148892692364523,nan,1.077387353398538,nan,1.0774068902768055,nan,1.0013410771816607,nan,1.0013355383571656,nan
z u v,3,-12.146283366632023,nan,-13.029987431276412,nan,-13.151792451792966,nan,1.0710535464193094,nan,1.0711598675343033,nan,1.0018223091354626,nan,1.0016133933168767,nan
D Y p,3,-12.008987419387896,nan,-12.008141196402473,nan,-12.373310841588278,nan,1.0833529872444925,nan,1.0832207634562052,nan,1.00331731433674,nan,1.0024648703431396,nan
s R k,3,-9.662750168085438,nan,-11.444216681845628,nan,-11.473773975164038,nan,1.1697856535554612,nan,1.1681945278048804,nan,1.0040232315449822,nan,1.0029310195269128,nan
b R s,3,-10.144701370752292,nan,-9.918509600203265,nan,-10.145471749631845,nan,1.143797497446343,nan,1.1426621313318839,nan,1.0053643087266428,nan,1.0037287601117861,nan
T ^ z,3,-11.632451202286033,nan,-10.647427349944651,nan,-11.21805806955491,nan,1.1290146662743699,nan,1.1281435187080793,nan,1.0075970925810833,nan,1.0049476528334091,nan
S c G,3,-13.294998940034082,nan,-12.019976158691374,nan,-12.175539773166516,nan,1.065304251148178,nan,1.0655082717409288,nan,1.0023548504291364,nan,1.0019091604237176,nan
J e J,3,-12.753725292107099,nan,-12.139012816896363,nan,-12.64591478627712,nan,1.0705085964829002,nan,1.0706494249544696,nan,1.002252231749392,nan,1.001873336129458,nan
D ^ z,3,-11.543897804944589,nan,-8.986090999382899,nan,-9.647541820149488,nan,1.1324030610223579,nan,1.1314768520414125,nan,1.0127561639482372,nan,1.008066966584384,nan
S Y p,3,-11.404393636169395,nan,-11.931148621462105,nan,-12.169267461647488,nan,1.0892826780534717,nan,1.0890540967895386,nan,1.0037472369506695,nan,1.0027248131557207,nan
n W C,3,-12.165170530436583,nan,-13.237873586836637,nan,-13.348075292931492,nan,1.0539417713344057,nan,1.0543517189282503,nan,1.0009111545677312,nan,1.0010755955445845,nan
l W C,3,-12.18998569955631,nan,-12.061883798957949,nan,-12.346433832874625,nan,1.0594479127998864,nan,1.059768385594917,nan,1.0009111545677312,nan,1.0010755955445845,nan
