word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.243597385428819,nan,-14.0593943180932,nan,-14.1009370688792,nan,1.1135825977940341,nan,1.1133539120109455,nan,1.0009912873261826,nan,1.0010550312710331,nan
g i T,3,-12.644778360655339,nan,-12.458701654811456,nan,-12.641949458388611,nan,1.113702126276092,nan,1.1134729566931476,nan,1.0006628003314002,nan,1.000792205947851,nan
z i T,3,-12.535373590644953,nan,-13.688460400423484,nan,-13.8667456410056,nan,1.0791466428237884,nan,1.079134733252877,nan,1.001151161067197,nan,1.0011836464488948,nan
y c g,3,-12.033541800253335,nan,-14.699461171424813,nan,-14.396251963887533,nan,1.1138741107303365,nan,1.1136417116806543,nan,1.0009912873261826,nan,1.0010550312710331,nan
l R z,3,-11.007925666597734,nan,-11.864007278797605,nan,-11.884066262209304,nan,1.083027646556779,nan,1.0829893282102496,nan,1.0004941870776323,nan,1.0006579958025312,nan
J Y p,3,-13.150711123845417,nan,-15.00216799697054,nan,-14.578396396934306,nan,1.0707933932397564,nan,1.0708313939040133,nan,1.0026512013256006,nan,1.0023803478218585,nan
C ^ z,3,-11.662548911424427,nan,-12.103600990013849,nan,-12.18856228640832,nan,1.1441758932487769,nan,1.1437511682795998,nan,1.0059622898116838,nan,1.0050253859560516,nan
C e J,3,-14.259395844039592,nan,-13.190239665199446,nan,-13.451595843885645,nan,1.0627001671780145,nan,1.0627920452368977,nan,1.0016336954611582,nan,1.0015713569716334,nan
z i S,3,-11.885350836718763,nan,-14.869111405411847,nan,-14.905494498865133,nan,1.0844490454749898,nan,1.084403090184059,nan,1.001151161067197,nan,1.0011836464488948,nan
z u v,3,-11.823250794980044,nan,-16.624732476795206,nan,-16.36292982179248,nan,1.1060971422505275,nan,1.105913594673763,nan,1.0011569874090325,nan,1.0011873764272003,nan
