word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.16577746963078,nan,-9.950246252727073,nan,-10.259705750332689,nan,1.1498152082946826,nan,1.1483201861531467,nan,1.0095360752582805,nan,1.0056062377316455,nan
b i l,3,-9.746838537217595,nan,-11.371967948367859,nan,-11.424543853225188,nan,1.154484553424453,nan,1.152805907553748,nan,1.002907579023994,nan,1.002160206126229,nan
b i s,3,-9.77256342845603,nan,-10.17070818812402,nan,-10.418320808984848,nan,1.1598321470073407,nan,1.158017633938113,nan,1.0049129266175771,nan,1.0031545713897358,nan
b R s,3,-10.401172087878404,nan,-9.818731764966843,nan,-10.136336757647706,nan,1.1383661784209533,nan,1.1369812050001962,nan,1.004099588431279,nan,1.0027831214297451,nan
b Y s,3,-10.621031563991423,nan,-12.16382164631536,nan,-11.912347869907622,nan,1.1425546600963459,nan,1.141085874061253,nan,1.0026178010471205,nan,1.002080216381919,nan
b ^ l,3,-9.231811226597904,nan,-7.536717322628249,nan,-7.86822914110468,nan,1.2005578518537725,nan,1.1979572672253747,nan,1.0183477055743764,nan,1.0103895857989993,nan
C @ l,3,-10.893174573233804,nan,-inf,nan,-13.658389788797892,nan,1.1239186353664639,nan,1.1228353162577844,nan,1.0020053475935828,nan,1.001617280567023,nan
C i D,3,-12.043668218641018,nan,-11.60308165147412,nan,-12.193348233375856,nan,1.071769798678052,nan,1.0719464448245097,nan,1.0038098104544055,nan,1.0027031316854351,nan
C i n,3,-10.693305866747192,nan,-10.383979965551884,nan,-10.83885451727324,nan,1.1299248788919558,nan,1.1286239692544773,nan,1.0078205056415712,nan,1.0046918622124488,nan
C R J,3,-13.020583572331608,nan,-inf,nan,-13.284424505157178,nan,1.0469615841023598,nan,1.0476526868963647,nan,1.000523560209424,nan,1.0009143755191967,nan
C R g,3,-12.180454201423016,nan,-12.721323643818343,nan,-12.76802783634173,nan,1.063004364851023,nan,1.0632878660494594,nan,1.000523560209424,nan,1.0009143755191967,nan
C R T,3,-13.451366488424062,nan,-12.115387660410546,nan,-12.589169842257666,nan,1.044956236508777,nan,1.045698289502228,nan,1.001192009407285,nan,1.0012458306070324,nan
C ^ J,3,-11.876947602289544,nan,-13.1570020160603,nan,-13.58182482707788,nan,1.1145008511180665,nan,1.1138404755059081,nan,1.00238401881457,nan,1.0018687459105484,nan
C ^ n,3,-10.1782785561275,nan,-10.530099763797208,nan,-10.859385888523569,nan,1.175998177321275,nan,1.1737753289261037,nan,1.0137476551782065,nan,1.0075034824037536,nan
