word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-12.871377559247332,nan,-12.69417284821886,nan,-13.02932833825153,nan,1.0753402042385494,nan,1.075436530630352,nan,1.0010298297699292,nan,1.0011531608043098,nan
g i T,3,-12.209088367047292,nan,-11.953638377347799,nan,-12.512591034147603,nan,1.0853909194210993,nan,1.0853031407100535,nan,1.0021434155160316,nan,1.0017561152812469,nan
z i T,3,-11.888729268569211,nan,-12.950884135514046,nan,-13.432563504686678,nan,1.0714503989750028,nan,1.0716107628004232,nan,1.0026164524129095,nan,1.0020312184449331,nan
y c g,3,-12.785254500926392,nan,-inf,nan,-13.642503942087236,nan,1.0648247981872818,nan,1.0650556599901746,nan,1.0016703786191536,nan,1.0014810121175604,nan
l R z,3,-10.439168276170047,nan,-10.532674925811913,nan,-10.776421152952757,nan,1.1049299964844854,nan,1.10440541479133,nan,1.0041193190797166,nan,1.0028829020107743,nan
J Y p,3,-12.155821303938604,nan,-13.095729722758433,nan,-13.094068234255374,nan,1.0778943404897658,nan,1.0778530581471901,nan,1.0027002083890828,nan,1.0020575925197153,nan
C ^ z,3,-11.214856355633504,nan,-11.596043030279574,nan,-11.93645073077483,nan,1.1329341324799553,nan,1.1318923493712725,nan,1.005011135857461,nan,1.0032898755483712,nan
C e J,3,-13.214235145052623,nan,-11.950304504654785,nan,-12.66104872463077,nan,1.0641077907513583,nan,1.064396642854417,nan,1.0034787702304921,nan,1.0025550506975238,nan
z i S,3,-11.173109232157206,nan,-13.561143656268223,nan,-13.667415003432021,nan,1.0781319134516176,nan,1.0781502723372078,nan,1.001502866666807,nan,1.0014282639679961,nan
z u v,3,-11.804145880853142,nan,-13.797607575277013,nan,-13.788592245048806,nan,1.0677003436644525,nan,1.067888436308398,nan,1.0020596595398583,nan,1.0017297412064645,nan
D Y p,3,-11.846816462018001,nan,-12.306122276010928,nan,-12.490717052812142,nan,1.0834705486682046,nan,1.083330009311042,nan,1.0027002083890828,nan,1.0020575925197153,nan
s R k,3,-9.933622898442092,nan,-11.237167474467658,nan,-11.37590138310341,nan,1.1434615122030174,nan,1.1421645408669154,nan,1.0045086000004213,nan,1.0031316310996787,nan
b R s,3,-10.550569618116624,nan,-9.64465288682526,nan,-9.97148805740596,nan,1.1368638271366576,nan,1.13568621797801,nan,1.0067357714926262,nan,1.0043375400535526,nan
T ^ z,3,-11.63535934110621,nan,-11.81462000409654,nan,-12.205264318922229,nan,1.130610712405606,nan,1.129610286386334,nan,1.0054841727543389,nan,1.0035649787120577,nan
S c G,3,-13.030035894836015,nan,-11.663136967845949,nan,-12.04770663593114,nan,1.0604625640610532,nan,1.0607845334967292,nan,1.0021434155160316,nan,1.0017561152812469,nan
J e J,3,-13.35848475389717,nan,-12.499202076370183,nan,-13.132803156774859,nan,1.0641077907513583,nan,1.064396642854417,nan,1.0020596595398583,nan,1.0017297412064645,nan
D ^ z,3,-11.050101122557447,nan,-9.121740933740371,nan,-9.669701832781847,nan,1.138510340658394,nan,1.1373693005351244,nan,1.0111606155168744,nan,1.0068662166762943,nan
S Y p,3,-11.716454644154759,nan,-12.382416872603894,nan,-12.526484276670773,nan,1.0843999166979443,nan,1.0842428345050175,nan,1.0031732452859607,nan,1.0023326956834016,nan
n W C,3,-12.364949026811232,nan,-12.576447071581967,nan,-12.905470304740573,nan,1.058022357360602,nan,1.0584089316655818,nan,1.0010298297699292,nan,1.0011531608043098,nan
l W C,3,-12.431299888835344,nan,-10.850508513438282,nan,-11.476735037716422,nan,1.0682454056877395,nan,1.0684500087993107,nan,1.001502866666807,nan,1.0014282639679961,nan
S c d,3,-11.9545651347296,nan,-13.459589707505755,nan,-13.139421955657566,nan,1.0988812723015877,nan,1.0983867133332414,nan,1.000473036896878,nan,1.0008516835658412,nan
g i J,3,-11.932834990419135,nan,-inf,nan,-13.906432600902876,nan,1.0865045051672018,nan,1.0863930589661843,nan,1.000473036896878,nan,1.0008516835658412,nan
C u T,3,-13.703637542269995,nan,-12.595882040276399,nan,-13.258474456616456,nan,1.051641319480185,nan,1.0521594881839804,nan,1.001502866666807,nan,1.0014282639679961,nan
D i g,3,-11.62383014849853,nan,-15.368836614607808,nan,-14.981778834498131,nan,1.0899208123678379,nan,1.0896966404992579,nan,1.0015866226429804,nan,1.0014546380427782,nan
w u T,3,-12.911117887896845,nan,-inf,nan,-13.916398264455738,nan,1.0823104644615977,nan,1.082282719585167,nan,1.0005567928730512,nan,1.0008780576406233,nan
T c T,3,-14.58643911061403,nan,-12.757625539330197,nan,-13.453760018111511,nan,1.0393841245713984,nan,1.0401235933365247,nan,1.000473036896878,nan,1.0008516835658412,nan
g u T,3,-12.945485531401054,nan,-12.421214017319974,nan,-12.88687321481908,nan,1.0688346280303709,nan,1.0690467542725244,nan,1.001502866666807,nan,1.0014282639679961,nan
f R s,3,-10.728552773311982,nan,-11.29764991401124,nan,-11.441077675052426,nan,1.1215292546459512,nan,1.120624602277417,nan,1.0053166608019923,nan,1.0035122305624935,nan
J Y m,3,-12.071480155504853,nan,-13.32667434538406,nan,-13.329924922602986,nan,1.0940413338082513,nan,1.0936568728610865,nan,1.0021434155160316,nan,1.0017561152812469,nan
n R z,3,-10.372817414145935,nan,-11.56546630339565,nan,-11.69433079621092,nan,1.094706948157348,nan,1.094364337657601,nan,1.0027002083890828,nan,1.0020575925197153,nan
m R n,3,-10.050219076587924,nan,-12.194701485946354,nan,-12.151887413113919,nan,1.1604333455211717,nan,1.1587515944189122,nan,1.0016703786191536,nan,1.0014810121175604,nan
C u S,3,-12.988017505857991,nan,-12.800676452922412,nan,-13.20564388291002,nan,1.0583228339567998,nan,1.058698997720765,nan,1.0020596595398583,nan,1.0017297412064645,nan
S e J,3,-12.919118094113323,nan,-11.785889226215644,nan,-12.411068519363,nan,1.0706133669595368,nan,1.0707864192122443,nan,1.00395180712737,nan,1.00283015386121,nan
T ^ S,3,-12.418753399513932,nan,-13.498194894790148,nan,-13.938030209972863,nan,1.1094525832296593,nan,1.1089018395198489,nan,1.0027002083890828,nan,1.0020575925197153,nan
v e D,3,-12.504752736534893,nan,-inf,nan,-17.42860303591953,nan,1.0706971963697918,nan,1.0708476058601237,nan,1,1,1.0005765804021547,1.0
C ^ S,3,-11.998250414041227,nan,-13.279617920973184,nan,-13.669216621825464,nan,1.1117760033040087,nan,1.1111839025047874,nan,1.0022271714922049,nan,1.0017824893560288,nan
n c T,3,-12.366741677425752,nan,-14.366413890195501,nan,-14.259535006055279,nan,1.0630830093297627,nan,1.0634006357828962,nan,1.000473036896878,nan,1.0008516835658412,nan
s R p,3,-10.244044457863364,nan,-11.310328311905042,nan,-11.482472552662133,nan,1.1172922471696098,nan,1.1165514618478418,nan,1.0050653928734725,nan,1.0034331083381471,nan
D i D,3,-12.217226926291417,nan,-14.957761393608878,nan,-14.88788841138945,nan,1.0810121263990182,nan,1.0809772944502116,nan,1.0010298297699292,nan,1.0011531608043098,nan
S c g,3,-12.69216407786038,nan,-12.30052531492037,nan,-12.632722867125743,nan,1.064360114172412,nan,1.064599247393187,nan,1.0021434155160316,nan,1.0017561152812469,nan
C i S,3,-12.251620341504228,nan,-13.431713101618346,nan,-13.725179578260638,nan,1.0748791253475283,nan,1.0749553841582942,nan,1.001975903563685,nan,1.0017033671316826,nan
g i D,3,-11.62383014849853,nan,-12.721218152690517,nan,-13.09728650648005,nan,1.0926292267707653,nan,1.0923876093749036,nan,1.0010298297699292,nan,1.0011531608043098,nan
T c S,3,-13.870819074202027,nan,-12.556954843868045,nan,-13.113247371953294,nan,1.0460656390480132,nan,1.0466631028733093,nan,1.0015866226429804,nan,1.0014546380427782,nan
z u T,3,-12.625126432922972,nan,-13.823924883594385,nan,-14.094527757809937,nan,1.0548941075842744,nan,1.055354376362894,nan,1.001502866666807,nan,1.0014282639679961,nan
S Y m,3,-11.632113495721008,nan,-12.613361495229523,nan,-12.762340965018385,nan,1.1005469100164298,nan,1.1000466492189138,nan,1.0026164524129095,nan,1.0020312184449331,nan
D ^ v,3,-11.728134665307344,nan,-9.00558818555675,nan,-9.722246429137641,nan,1.1234769330860108,nan,1.1226554040773586,nan,1.0094902368977208,nan,1.0059617849608888,nan
t W C,3,-12.216103399213667,nan,-11.444358853717468,nan,-11.949473915109438,nan,1.0840446621933157,nan,1.0839680370968918,nan,1.001975903563685,nan,1.0017033671316826,nan
g Y b,3,-11.559944844478377,nan,-15.110161405556775,nan,-14.620605948271496,nan,1.078940655721466,nan,1.0789365095218375,nan,1.001502866666807,nan,1.0014282639679961,nan
r c S,3,-11.663544161012306,nan,-11.53488263232227,nan,-11.890943610942633,nan,1.0818463081929945,nan,1.0818068728413603,nan,1.0030057333336142,nan,1.0022799475338373,nan
d R s,3,-10.065061802334924,nan,-10.331464710313204,nan,-10.589356515876965,nan,1.1247820427500406,nan,1.1238194904563306,nan,1.0057896976988703,nan,1.0037873337261798,nan
S c z,3,-12.371804979382297,nan,-11.56368218160215,nan,-11.773524069012268,nan,1.0760527645064877,nan,1.0760433890825603,nan,1.0010298297699292,nan,1.0011531608043098,nan
y c d,3,-12.047655557795613,nan,-inf,nan,-14.14920303061906,nan,1.0993459563164576,nan,1.0988431259302291,nan,1,1,1.0005765804021547,1.0
J u S,3,-13.132267114702538,nan,-12.656426844077863,nan,-13.117782527118685,nan,1.0583228339567998,nan,1.058698997720765,nan,1.0025326964367363,nan,1.002004844370151,nan
h u S,3,-12.510578898124736,nan,-11.799038966084808,nan,-12.143732961092338,nan,1.0838804547746437,nan,1.0838016905550871,nan,1.0030057333336142,nan,1.0022799475338373,nan
g u S,3,-12.229865494989049,nan,-12.626008429965987,nan,-12.834042641112642,nan,1.0755161425069857,nan,1.075586263809309,nan,1.0020596595398583,nan,1.0017297412064645,nan
y R z,3,-11.969985233988218,nan,-10.840914151924858,nan,-11.197221533019524,nan,1.0803017436963813,nan,1.0802155471509831,nan,1.0027002083890828,nan,1.0020575925197153,nan
C e g,3,-12.311833525339134,nan,-13.987686057207258,nan,-13.960696073858886,nan,1.0791411983237416,nan,1.0791105393121825,nan,1.002921977357441,nan,1.0022535734590554,nan
z i J,3,-11.612475891941052,nan,-inf,nan,-14.826405071441952,nan,1.0725639847211053,nan,1.072700681056554,nan,1.0009460737937559,nan,1.0011267867295275,nan
m u S,3,-11.58690805895296,nan,-11.41711765193306,nan,-11.72325293799578,nan,1.0964269231761308,nan,1.0961248306737543,nan,1.00395180712737,nan,1.00283015386121,nan
D Y m,3,-11.76247531358425,nan,-12.537066898636555,nan,-12.726573741159754,nan,1.09961754198669,nan,1.0991338240249384,nan,1.0021434155160316,nan,1.0017561152812469,nan
J e g,3,-12.456083134183682,nan,-14.536583628922655,nan,-14.432450506002974,nan,1.0791411983237416,nan,1.0791105393121825,nan,1.001502866666807,nan,1.0014282639679961,nan
f u v,3,-12.050397007177502,nan,-12.667855539901488,nan,-12.723392825490398,nan,1.0881464403187275,nan,1.0879705905758559,nan,1.0015866226429804,nan,1.0014546380427782,nan
v R n,3,-11.05085095689583,nan,-11.098187833935166,nan,-11.443503104371846,nan,1.1227939403167106,nan,1.1217821740629104,nan,1.0035625262066654,nan,1.002581424772306,nan
g i C,3,-11.788585381574586,nan,-11.68099418226056,nan,-12.143693987443223,nan,1.0926292267707653,nan,1.0923876093749036,nan,1.0015866226429804,nan,1.0014546380427782,nan
C i D,3,-12.381982159367471,nan,-13.589033356206885,nan,-14.075023551847742,nan,1.0754359182205795,nan,1.0755003432863597,nan,1.001975903563685,nan,1.0017033671316826,nan
C Y z,3,-12.249828884218314,nan,-11.046578317476465,nan,-11.472375100221932,nan,1.0790079262358683,nan,1.078942976403321,nan,1.0015866226429804,nan,1.0014546380427782,nan
d c T,3,-12.670185171141604,nan,-12.295308478830654,nan,-12.732687811846096,nan,1.0686592175082015,nan,1.0688775869467484,nan,1.0023651844843897,nan,1.0019520962205868,nan
y R v,3,-12.648018776738116,nan,-12.031013057187593,nan,-12.417371289530381,nan,1.065268336123998,nan,1.0655016506932173,nan,1.0021434155160316,nan,1.0017561152812469,nan
z i g,3,-10.710074272227565,nan,-14.129539131855692,nan,-14.111149400127802,nan,1.0875973922934885,nan,1.0874145775143196,nan,1.0020596595398583,nan,1.0017297412064645,nan
S e g,3,-12.016716474399836,nan,-13.823270778768117,nan,-13.710715868591116,nan,1.08564677453192,nan,1.0855003156700098,nan,1.0033950142543189,nan,1.0025286766227417,nan
C e D,3,-12.905230303132019,nan,-inf,nan,-15.253100011870098,nan,1.070232512354922,nan,1.0703911932631363,nan,1.0023651844843897,nan,1.0019520962205868,nan
n W T,3,-12.785452012283937,nan,-12.849091266669207,nan,-13.274367351444953,nan,1.050784050010936,nan,1.0513244630007317,nan,1.0010298297699292,nan,1.0011531608043098,nan
T ^ J,3,-12.858120059297779,nan,-14.33179391081919,nan,-14.691555169874627,nan,1.103884654499147,nan,1.103452248239195,nan,1.0010298297699292,nan,1.0011531608043098,nan
T c g,3,-13.407784114272385,nan,-12.278052459068311,nan,-12.86383458808913,nan,1.055531117889884,nan,1.055927408050421,nan,1.0021434155160316,nan,1.0017561152812469,nan
