word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.382388918591758,nan,-13.44468146674617,nan,-13.49804425336917,nan,1.0911924997246145,nan,1.09102807759095,nan,1.000969371501388,nan,1.0010851804876848,nan
g i T,3,-12.316939381739779,nan,-12.673420146507826,nan,-13.014991545944206,nan,1.097626074266911,nan,1.097381950728716,nan,1.0019660492422517,nan,1.0017472859831604,nan
z i T,3,-11.921368347276815,nan,-14.01208010599967,nan,-14.300999467273542,nan,1.0713102847932268,nan,1.071387588060379,nan,1.0032403404177854,nan,1.002605655081873,nan
y c g,3,-13.594266281872834,nan,-13.938644938780934,nan,-13.82681257512529,nan,1.0664543598370755,nan,1.0665841661083757,nan,1.0016474764483685,nan,1.0015326937084823,nan
l R z,3,-10.132202957207088,nan,-10.323143902087127,nan,-10.468891119214442,nan,1.1040461226683893,nan,1.1037145278650868,nan,1.0006507987075048,nan,1.0008705882130067,nan
J Y p,3,-12.227257050870811,nan,-14.164666090225978,nan,-13.87522844468519,nan,1.0927806164139706,nan,1.0925767287349608,nan,1.0019797023619899,nan,1.0017533955403075,nan
C ^ z,3,-11.141222489403185,nan,-11.043356573125982,nan,-11.252480214213113,nan,1.1290205530099329,nan,1.1283809581482915,nan,1.0043052837573385,nan,1.003298308363084,nan
C e J,3,-13.147376588084267,nan,-13.205276149183685,nan,-13.506761676496499,nan,1.0689468261633484,nan,1.0690547979137668,nan,1.0022573157966594,nan,1.0019496591435444,nan
z i S,3,-10.954332416397424,nan,-14.391329371976942,nan,-14.36110339134325,nan,1.077954803065652,nan,1.0779471157743836,nan,1.0022436626769218,nan,1.0019435495863973,nan
z u v,3,-12.365342567137704,nan,-13.842234992185858,nan,-13.895643153986335,nan,1.0645019290839473,nan,1.064656228791248,nan,1.002298275155873,nan,1.0019679878149856,nan
D Y p,3,-12.563729287492025,nan,-13.495049407076227,nan,-13.694975140955295,nan,1.0854882892104196,nan,1.0853734716099999,nan,1.002298275155873,nan,1.0019679878149856,nan
s R k,3,-9.39336897848882,nan,-10.800280294725377,nan,-10.876721963354862,nan,1.2199919131743544,nan,1.2182213250293081,nan,1.0078095844900559,nan,1.0056588233845432,nan
b R s,3,-9.819183626012263,nan,-9.772673041519806,nan,-9.903818408698138,nan,1.1843889663283937,nan,1.1830584148546754,nan,1.0075046648159105,nan,1.005450340667012,nan
T ^ z,3,-11.86139834235105,nan,-11.34414207461616,nan,-11.651797810058607,nan,1.1236305720333952,nan,1.1230568115776682,nan,1.0049424293451052,nan,1.0037274929124402,nan
S c G,3,-13.544299967594352,nan,-11.929783254641455,nan,-12.129159568309856,nan,1.070695980981559,nan,1.0707764705887919,nan,1.0033086060164749,nan,1.0026362028676084,nan
J e J,3,-13.57304440350995,nan,-13.183521851174747,nan,-13.540631329736797,nan,1.0679956530498418,nan,1.068115242636598,nan,1.0013015974150092,nan,1.00130588231951,nan
D ^ z,3,-11.903362541450083,nan,-10.980594251389666,nan,-11.393778636175297,nan,1.1207770526928753,nan,1.1202381457461619,nan,1.0043052837573385,nan,1.003298308363084,nan
S Y p,3,-11.554729157513602,nan,-12.329297815570488,nan,-12.470131748945315,nan,1.1000729436175216,nan,1.0997799858599215,nan,1.00293542074364,nan,1.002397172364342,nan
n W C,3,-12.140673989271583,nan,-13.34743908117466,nan,-13.432869785960733,nan,1.0616015343209158,nan,1.0617958117004347,nan,1.000983024621126,nan,1.0010912900448319,nan
l W C,3,-12.08381112737704,nan,-11.44591113279028,nan,-11.754896772704576,nan,1.073649727092,nan,1.0736968452112396,nan,1.0013015974150092,nan,1.00130588231951,nan
S c d,3,-11.825472967857328,nan,-14.634612824670425,nan,-13.968099387043443,nan,1.1015929909483364,nan,1.1012782744589134,nan,1.0003185727938835,nan,1.0006498863811815,nan
g i J,3,-12.022431344217598,nan,-14.430762622272232,nan,-14.17370775868202,nan,1.0953004928715622,nan,1.0950861160288143,nan,1.000969371501388,nan,1.0010851804876848,nan
C u T,3,-14.027745435315353,nan,-13.254270115394107,nan,-13.503843299259106,nan,1.0598037869788948,nan,1.0600227534443794,nan,1.000969371501388,nan,1.0010851804876848,nan
D i g,3,-12.358903580838813,nan,-17.345914409166884,nan,-16.835568577314856,nan,1.0852789413744388,nan,1.0851773875530992,nan,1.0003185727938835,nan,1.0006498863811815,nan
w u T,3,-13.557741806069618,nan,-14.676529625207513,nan,-14.282989198494295,nan,1.090241326611108,nan,1.090088522313781,nan,1.0006507987075048,nan,1.0008705882130067,nan
T c T,3,-14.912224339554495,nan,-12.713353742001203,nan,-13.2585026058339,nan,1.0489980685063391,nan,1.0493493305993697,nan,1.0006371455877667,nan,1.0008644786558596,nan
g u T,3,-13.570320588276477,nan,-13.87677471279243,nan,-13.887954201054825,nan,1.0781931338400237,nan,1.0781874888029763,nan,1.000969371501388,nan,1.0010851804876848,nan
f R s,3,-10.28128901323376,nan,-10.887767315903547,nan,-11.011353727315411,nan,1.1396838299935808,nan,1.1388993168277415,nan,1.0062303736403768,nan,1.0045919715682998,nan
J Y m,3,-12.302242857755374,nan,-13.886945603658413,nan,-13.625262662043637,nan,1.0967673273774257,nan,1.0965124453633637,nan,1.000983024621126,nan,1.0010912900448319,nan
n R z,3,-10.189065819101632,nan,-10.809389952478362,nan,-10.942891328144665,nan,1.091997929897305,nan,1.0918134943542819,nan,1.000969371501388,nan,1.0010851804876848,nan
m R n,3,-9.862381588846581,nan,-11.713779835931776,nan,-11.762045765298096,nan,1.182780714822633,nan,1.1814500671417738,nan,1.0029627269831156,nan,1.002409391478636,nan
C u S,3,-13.060709504435962,nan,-11.736399396485497,nan,-12.059869826552537,nan,1.06644830525132,nan,1.066582281158384,nan,1.0019660492422517,nan,1.0017472859831604,nan
S e J,3,-12.900516510152741,nan,-12.839808453296975,nan,-13.128786407007205,nan,1.0752879802533928,nan,1.0753184997615588,nan,1.0032130341783096,nan,1.0025934359675786,nan
T ^ S,3,-12.467534145921366,nan,-13.26092395074845,nan,-13.575463976184182,nan,1.1126671168838935,nan,1.1122335908495606,nan,1.0029490738633777,nan,1.002403281921489,nan
v e D,3,-13.394617690977537,nan,-inf,nan,-18.832648699678373,nan,1.061081056387269,nan,1.0612843357772694,nan,1,1,1.0004352941065033,1.0
C ^ S,3,-11.747358292973502,nan,-12.960138449258272,nan,-13.17614638033869,nan,1.1180570978604312,nan,1.117557737420184,nan,1.002311928275611,nan,1.0019740973721327,nan
n c T,3,-12.579947456753047,nan,-14.084388505066233,nan,-14.239235663376359,nan,1.0686556461854768,nan,1.068766806327525,nan,1.0006371455877667,nan,1.0008644786558596,nan
s R p,3,-9.671979611315901,nan,-10.769346399736376,nan,-10.871378916482408,nan,1.1977327769617299,nan,1.1962469071873927,nan,1.0071451326628134,nan,1.0052174197208927,nan
D i D,3,-13.578468479924584,nan,-16.382282884218313,nan,-16.407352874149957,nan,1.0699965493478607,nan,1.0700904738108887,nan,1.0016474764483685,nan,1.0015326937084823,nan
S c g,3,-12.767587708688364,nan,-13.546083235508677,nan,-13.531990107801368,nan,1.0750149178586355,nan,1.075040163602895,nan,1.0016474764483685,nan,1.0015326937084823,nan
C i S,3,-11.807328297899264,nan,-12.959008944355443,nan,-13.074470769607583,nan,1.0858812456782074,nan,1.0857767430841236,nan,1.0035179538524555,nan,1.0028019186851096,nan
g i D,3,-12.358903580838813,nan,-14.007279008661389,nan,-14.11201418967668,nan,1.0966293965260472,nan,1.0963980215716154,nan,1.0019660492422517,nan,1.0017472859831604,nan
T c S,3,-13.945188408675104,nan,-12.294095311760705,nan,-12.68999787048123,nan,1.0556425867787644,nan,1.0559088583133744,nan,1.0013015974150092,nan,1.00130588231951,nan
z u T,3,-13.174749553813513,nan,-15.872214208673347,nan,-15.798116431457156,nan,1.0518773443663394,nan,1.0521931261346393,nan,1.000969371501388,nan,1.0010851804876848,nan
S Y m,3,-11.629714964398165,nan,-12.051577329002923,nan,-12.220165966303762,nan,1.1040596545809767,nan,1.1037157024883244,nan,1.0019387430027762,nan,1.0017350668688663,nan
D ^ v,3,-12.66712728922398,nan,-11.247434628121686,nan,-11.768631511683207,nan,1.1157936639885562,nan,1.1153184999606582,nan,1.0049697355845812,nan,1.0037397120267344,nan
t W C,3,-11.9090558109664,nan,-10.914682121880293,nan,-11.234347863601695,nan,1.0948925932936486,nan,1.094680246401343,nan,1.0035316069721931,nan,1.0028080282422567,nan
g Y b,3,-11.491368403102614,nan,-15.162496258849366,nan,-14.921820380118803,nan,1.0915231297440877,nan,1.0913464834573123,nan,1.0016338233286306,nan,1.0015265841513352,nan
r c S,3,-11.659178280775272,nan,-11.817625106741518,nan,-11.971735267662494,nan,1.0800560300254354,nan,1.0800241104273738,nan,1.0016201702088927,nan,1.0015204745941881,nan
d R s,3,-9.527105942087445,nan,-10.491418041203392,nan,-10.602974394389095,nan,1.146976157197132,nan,1.1461025739527022,nan,1.0065489464342603,nan,1.0048065638429777,nan
S c z,3,-12.372016674225398,nan,-12.46216992881418,nan,-12.350464432037846,nan,1.0783371769948482,nan,1.0783199274598974,nan,1.0006507987075048,nan,1.0008705882130067,nan
y c d,3,-12.652151541041798,nan,-15.027174527942682,nan,-14.262921854367365,nan,1.0930324329267764,nan,1.092822276964394,nan,1.0003185727938835,nan,1.0006498863811815,nan
J u S,3,-13.486377319861646,nan,-12.071320042415293,nan,-12.393844072243173,nan,1.0654971321378135,nan,1.0656427258812153,nan,1.0022846220361352,nan,1.0019618782578386,nan
h u S,3,-12.72423726781475,nan,-10.813916694363423,nan,-11.090704073157594,nan,1.1032269989735777,nan,1.102911751875578,nan,1.003558913211669,nan,1.0028202473565508,nan
g u S,3,-12.603284657397086,nan,-12.358903993883821,nan,-12.443980728348254,nan,1.084837652112449,nan,1.084747016516981,nan,1.0019660492422517,nan,1.0017472859831604,nan
y R z,3,-12.380985344208158,nan,-10.494387704940198,nan,-10.837811356744535,nan,1.0755109292631895,nan,1.0755278695500226,nan,1.0006507987075048,nan,1.0008705882130067,nan
