word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.30996397590092,nan,-10.679674912941447,nan,-11.152200207245002,nan,1.2013257354439308,nan,1.1987030351803076,nan,1.002255770961848,nan,1.001810127109014,nan
b O r,3,-12.020700875451823,nan,-inf,nan,-13.137341609693598,nan,1.166482529869018,nan,1.164631484924771,nan,1.0005136106831023,nan,1.0008850577288106,nan
b O s,3,-12.512746604566216,nan,-10.638379754167266,nan,-11.134327612591054,nan,1.153125967731968,nan,1.1515707239934818,nan,1.0016750508689327,nan,1.0015017706489462,nan
b U n,3,-11.329134722889194,nan,-inf,nan,-11.70262540380131,nan,1.2146796132045883,nan,1.2117946766707406,nan,1.0030816640986133,nan,1.0023268109006676,nan
b u r,3,-10.238243798886081,nan,-11.706850022558454,nan,-11.502381828464378,nan,1.1942175067565373,nan,1.1918218172510548,nan,1.0052032162408353,nan,1.0035002192638498,nan
b U s,3,-11.531917351554489,nan,-inf,nan,-11.684752809147364,nan,1.1664798454926255,nan,1.1646623654839148,nan,1.0030816640986133,nan,1.0023268109006676,nan
b W r,3,-10.607007540143817,nan,-13.129845750528773,nan,-12.714484758873564,nan,1.1788091862634709,nan,1.176716077069786,nan,1.0016079414591197,nan,1.00148176482325,nan
C e D,3,-13.306099241564969,nan,-inf,nan,-14.903265984073252,nan,1.082040139765769,nan,1.081988268041443,nan,1.002568053415511,nan,1.0020384602662962,nan
C i D,3,-12.6670192822753,nan,-12.29192735383642,nan,-13.040888947631245,nan,1.0712543154206229,nan,1.0714142499145547,nan,1.0052703256506481,nan,1.003520225089546,nan
C O b,3,-13.543917612438793,nan,-13.186985865604804,nan,-13.457752263293392,nan,1.0544653306696703,nan,1.0549068754654727,nan,1.0010943307760176,nan,1.0011934141888785,nan
C O g,3,-14.025142766428495,nan,-inf,nan,-13.62283201365284,nan,1.0544653306696703,nan,1.0549068754654727,nan,1.0005136106831023,nan,1.0008850577288106,nan
C O v,3,-14.704496624856102,nan,-inf,nan,-13.160601882740483,nan,1.0486581297405182,nan,1.0492282837562166,nan,1.0005136106831023,nan,1.0008850577288106,nan
C u D,3,-13.657150927949338,nan,-14.520671533030583,nan,-14.636203198824207,nan,1.0630365444909875,nan,1.0633578551512113,nan,1.0010943307760176,nan,1.0011934141888785,nan
C u S,3,-12.441814364973087,nan,-12.421822091334308,nan,-12.55993123190565,nan,1.0775545468138679,nan,1.0775543344243517,nan,1.0016750508689327,nan,1.0015017706489462,nan
C u T,3,-13.362351387728694,nan,-13.110722981012803,nan,-13.25856690044743,nan,1.0630365444909875,nan,1.0633578551512113,nan,1.0005136106831023,nan,1.0008850577288106,nan
D e C,3,-13.306099241564969,nan,-inf,nan,-13.794370828449559,nan,1.0787411554081447,nan,1.0787258282442476,nan,1.0020544427324087,nan,1.0017501096319248,nan
D e D,3,-14.272539757124594,nan,-inf,nan,-15.448260503454494,nan,1.068868913828586,nan,1.069072222338512,nan,1.0020544427324087,nan,1.0017501096319248,nan
D e J,3,-13.565207941572694,nan,-12.036736091413502,nan,-12.88539231219678,nan,1.0694496339215014,nan,1.0696400815094378,nan,1.0032158829182392,nan,1.0023668225520603,nan
D e S,3,-13.057203194148343,nan,-11.162076245768539,nan,-11.985694175416047,nan,1.0833869161514664,nan,1.0832687016116525,nan,1.0037966030111545,nan,1.0026751790121282,nan
D i C,3,-12.6670192822753,nan,-12.263756476869727,nan,-12.894804539516597,nan,1.0679553310629983,nan,1.0681518101173593,nan,1.0039308218307805,nan,1.0027151906635212,nan
D i D,3,-13.633459797834927,nan,-13.900005646754483,nan,-14.702844894348791,nan,1.0580830894834397,nan,1.0584982042116238,nan,1.0021886615520348,nan,1.0017901212833176,nan
D i S,3,-12.418123234858676,nan,-14.103741298052254,nan,-14.130650324206508,nan,1.07260109180632,nan,1.0726946834847642,nan,1.0010272213662044,nan,1.001173408363182,nan
D i T,3,-13.338660257614281,nan,-12.713200646050913,nan,-13.50753015276597,nan,1.0580830894834397,nan,1.0584982042116238,nan,1.00276938164495,nan,1.0020984777433855,nan
d u r,3,-9.949489340272546,nan,-14.987556031886074,nan,-14.128819331758798,nan,1.158756513848736,nan,1.1570478480508561,nan,1.0010943307760176,nan,1.0011934141888785,nan
D W C,3,-14.025914669207076,nan,-inf,nan,-13.090752348022317,nan,1.0443292396402966,nan,1.044989675172747,nan,1.0017421602787457,nan,1.0015217764746427,nan
