word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.047157543734205,nan,-14.472805325609029,nan,-14.498037630083676,nan,1.064933529354244,nan,1.064952693749944,nan,1.0007175797379373,nan,1.0007509128453753,nan
g i T,3,-12.391163074396577,nan,-12.893386195171217,nan,-12.941826699721583,nan,1.0731294452769584,nan,1.0731362709784034,nan,1.002082619524398,nan,1.0020394986591594,nan
z i T,3,-12.401210254675519,nan,-13.719579931747099,nan,-13.76090993784896,nan,1.069881059801882,nan,1.0698927772723257,nan,1.001269328017485,nan,1.0012714495040136,nan
y c g,3,-11.844998084185278,nan,-15.436874144872233,nan,-15.177683703728583,nan,1.0779701487410014,nan,1.0779687068913884,nan,1.0007977657695306,nan,1.000826490066401,nan
l R z,3,-11.54287948868026,nan,-13.205926510211984,nan,-13.195611453448379,nan,1.0733044628923805,nan,1.0733101467589854,nan,1.0008351290877255,nan,1.0008618489944734,nan
J Y p,3,-13.505897892695359,nan,-16.415205476057743,nan,-15.808302775714234,nan,1.0463119336082676,nan,1.0463582662515958,nan,1.0010009605461154,nan,1.001017862801405,nan
C ^ z,3,-11.965565406761108,nan,-13.169222922810796,nan,-13.209009968829731,nan,1.0953511193212662,nan,1.0953234804052843,nan,1.0025910326899734,nan,1.0025172588097155,nan
C e J,3,-14.601125994263915,nan,-13.814202887475238,nan,-13.89856797434171,nan,1.0476991050471278,nan,1.0477443225655116,nan,1.0007399297193236,nan,1.0007729085200265,nan
z i S,3,-12.309790347401123,nan,-14.390321427954996,nan,-14.416486388309881,nan,1.0702819899598484,nan,1.0702930815035414,nan,1.0008683978595183,nan,1.0008935633988856,nan
z u v,3,-11.84472023768065,nan,-16.72734335917143,nan,-16.569864402069662,nan,1.077401316137815,nan,1.0774013794015913,nan,1.0009995956973148,nan,1.001016647960185,nan
D Y p,3,-11.303806049113085,nan,-15.166376502625432,nan,-14.968756306899124,nan,1.0779836919902621,nan,1.0779823298858533,nan,1.0010396887131114,nan,1.0010544365706977,nan
s R k,3,-10.91134362788409,nan,-12.889167183386558,nan,-12.891144378120407,nan,1.0961571919628317,nan,1.0961277414323505,nan,1.0008296696925225,nan,1.000856989629593,nan
b R s,3,-11.223595946356635,nan,-12.352505018163377,nan,-12.368063342168703,nan,1.0829538094289384,nan,1.0829434840038559,nan,1.0014602391548626,nan,1.0014518886680366,nan
T ^ z,3,-11.9758219069283,nan,-14.17322196821446,nan,-14.182670323257943,nan,1.0947710504864312,nan,1.0947442851006277,nan,1.0022812073540066,nan,1.0022246686553742,nan
S c G,3,-14.051016239979944,nan,-14.752775883387706,nan,-14.689385465869483,nan,1.0280574930325674,nan,1.0281319198203873,nan,1.0004009301579664,nan,1.0004522484849334,nan
J e J,3,-14.915397520904934,nan,-15.165686997693472,nan,-15.224192117768428,nan,1.0475444200245052,nan,1.0475898704842699,nan,1.0004688325503528,nan,1.0005168921349779,nan
D ^ z,3,-10.077745089819857,nan,-9.562462833432875,nan,-9.582223744269635,nan,1.126868192680638,nan,1.1267930919583,nan,1.0133961912818172,nan,1.0127213404423685,nan
S Y p,3,-13.110462958947132,nan,-14.283232503977995,nan,-14.251400873665524,nan,1.0474720712779377,nan,1.0475166568609093,nan,1.001117145047103,nan,1.001127584109283,nan
n W C,3,-12.889885287720011,nan,-13.170994056412738,nan,-13.161267553678629,nan,1.0720706685523727,nan,1.0720791087802175,nan,1.0030982533596684,nan,1.0030002639232185,nan
l W C,3,-13.336656321639634,nan,-14.344488477462974,nan,-14.323456355800086,nan,1.0557513986656795,nan,1.055784414209208,nan,1.0004260098369544,nan,1.0004766738420248,nan
S c d,3,-13.002423707821444,nan,-inf,nan,-19.00435447268235,nan,1.0549198136163216,nan,1.0549523033118409,nan,1,1,1.0000743623798054,1.0
g i J,3,-12.695178100870407,nan,-13.901054666026102,nan,-13.944253201828895,nan,1.071686096708279,nan,1.071695175746027,nan,1.0015614103190413,nan,1.0015482467224932,nan
C u T,3,-14.15351430479779,nan,-13.98644379596903,nan,-14.053240192044369,nan,1.0581273883588458,nan,1.058156802175305,nan,1.0009112205729165,nan,1.0009337816918387,nan
D i g,3,-10.493086257288134,nan,-13.016216968146963,nan,-13.020409607238685,nan,1.1071422472393928,nan,1.1070967956269162,nan,1.0025482099765752,nan,1.0024770405167625,nan
w u T,3,-12.469926771764491,nan,-15.491383017574671,nan,-15.366040879872415,nan,1.0920420795688695,nan,1.0920204209875686,nan,1.000756307904933,nan,1.000787486614668,nan
T c T,3,-15.134432564370156,nan,-16.58397764779131,nan,-16.462315065597817,nan,1.020097182039018,nan,1.020183948711329,nan,1.00019500568378,nan,1.000258446067489,nan
g u T,3,-12.613173392553813,nan,-16.45135929801114,nan,-16.221497959588394,nan,1.0747560282907844,nan,1.0747604009087979,nan,1.0006401234039455,nan,1.00067776530679,nan
f R s,3,-11.77171178074585,nan,-13.340602524355834,nan,-13.345119222552393,nan,1.0735180230489543,nan,1.0735219070481063,nan,1.0011504138188958,nan,1.0011592985136952,nan
J Y m,3,-13.089343689956916,nan,-15.885688403768071,nan,-15.278981899799689,nan,1.0590615126316016,nan,1.059087940804256,nan,1.0014018907040818,nan,1.001395748906533,nan
n R z,3,-11.096108454760639,nan,-14.069314016422787,nan,-14.014374071395917,nan,1.0896237327790737,nan,1.0896048413299948,nan,1.0008351290877255,nan,1.0008618489944734,nan
m R n,3,-10.708365463788617,nan,-13.562642138827051,nan,-13.527984558324698,nan,1.1011585921872602,nan,1.1011203844007407,nan,1.0012788819590903,nan,1.0012799533925545,nan
C u S,3,-14.062094397523394,nan,-14.65094245935053,nan,-14.703118621390653,nan,1.0585283185168122,nan,1.0585571064065207,nan,1.0007107554939332,nan,1.0007448386392748,nan
S e J,3,-14.519962587156707,nan,-14.010629379304314,nan,-14.088022795958674,nan,1.0487045576941754,nan,1.0487482610935834,nan,1.0007786578863196,nan,1.0008094822893192,nan
T ^ S,3,-13.424952231786127,nan,-15.869439116368655,nan,-15.89784407632653,nan,1.0779319838518389,nan,1.0779315073895672,nan,1.0004770216431573,nan,1.0005241811822987,nan
v e D,3,-11.630790315696727,nan,-14.986314802120663,nan,-14.979052734788866,nan,1.0769823591074879,nan,1.0769820780500112,nan,1.0009914066045098,nan,1.0010093589128644,nan
C ^ S,3,-13.414695731618936,nan,-14.865440070964992,nan,-14.924183721898318,nan,1.0785120526866738,nan,1.0785107026942238,nan,1.0007868469791241,nan,1.00081677133664,nan
n c T,3,-12.604178094603697,nan,-16.228694556449067,nan,-16.07915133969031,nan,1.0703311431357345,nan,1.0703422620946017,nan,1.00019500568378,nan,1.000258446067489,nan
s R p,3,-11.376586021610823,nan,-13.064601410079327,nan,-13.065529637439168,nan,1.0828463107183444,nan,1.0828376409559883,nan,1.0009098557241158,nan,1.0009325668506186,nan
D i D,3,-10.14560685259086,nan,-13.32882304342806,nan,-13.328812933433134,nan,1.1119133161191939,nan,1.1118604159783834,nan,1.002588302992372,nan,1.0025148291272754,nan
S c g,3,-13.492415244684594,nan,-14.95032811234663,nan,-14.881569091529437,nan,1.0408070720559015,nan,1.0408615943730473,nan,1.000681581268543,nan,1.000716768758523,nan
C i S,3,-13.840084079366159,nan,-14.534918345685037,nan,-14.593627135440876,nan,1.0569017355029862,nan,1.0569329764761262,nan,1.0010620386944975,nan,1.001076432245349,nan
g i D,3,-10.493086257288134,nan,-12.684099222608651,nan,-12.696233829720025,nan,1.0970248826917606,nan,1.0969944031588605,nan,1.0032854099982973,nan,1.0031731569745432,nan
T c S,3,-15.04301265709576,nan,-14.70413133345208,nan,-14.733068324827723,nan,1.0204981121969843,nan,1.0205842529425446,nan,1.0003954707627634,nan,1.000447389120053,nan
z u T,3,-12.623220572832755,nan,-16.095241727042264,nan,-15.97054228149172,nan,1.071507642815708,nan,1.0715169072027202,nan,1.0006788515709415,nan,1.0007143390760826,nan
S Y m,3,-12.693908756208689,nan,-13.753715431688322,nan,-13.72207999775098,nan,1.0602216503012718,nan,1.0602463314135695,nan,1.0015180752050694,nan,1.001505470214411,nan
D ^ v,3,-10.839794986799976,nan,-9.583162169026421,nan,-9.615607452537253,nan,1.1155218692101865,nan,1.115464482214895,nan,1.0139174004871736,nan,1.0132125923790347,nan
t W C,3,-12.513617017500973,nan,-13.973191261390477,nan,-13.956775085484916,nan,1.088737979739967,nan,1.088721320534021,nan,1.000542194337942,nan,1.0005863951499028,nan
g Y b,3,-11.498295378556174,nan,-15.086572821086152,nan,-15.004249469852512,nan,1.0670644671266971,nan,1.0670793289553662,nan,1.0008378587853273,nan,1.0008642786769137,nan
r c S,3,-12.761261651004556,nan,-12.75122244542115,nan,-12.78933000355537,nan,1.0554182560540553,nan,1.0554518102828798,nan,1.0012087622696764,nan,1.0012154382751988,nan
