word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.128329679563489,nan,-13.41262182152244,nan,-13.509102918419755,nan,1.093123248203245,nan,1.0929584531821508,nan,1.0014533578490372,nan,1.0014122374851544,nan
g i T,3,-12.487625199795545,nan,-11.959496022158449,nan,-12.338431387577959,nan,1.0846536864160514,nan,1.0845811268662566,nan,1.000900900900901,nan,1.0010230243269678,nan
z i T,3,-12.048393229216565,nan,-14.077477705061762,nan,-14.379160195169408,nan,1.0582931421983646,nan,1.0585087971774425,nan,1.000900900900901,nan,1.0010230243269678,nan
y c g,3,-12.580597168467161,nan,-13.931039944949996,nan,-13.863084357741503,nan,1.0875879937786053,nan,1.0874724663178648,nan,1.0020700063337924,nan,1.001832214601188,nan
l R z,3,-10.18118587655569,nan,-9.889419638708347,nan,-10.031911119507928,nan,1.1010609973596248,nan,1.1007866604662293,nan,1.0035554599511394,nan,1.002855238928156,nan
J Y p,3,-12.543945814682083,nan,-14.76045421099595,nan,-14.372895236603117,nan,1.074243861048458,nan,1.0742679679055296,nan,1.000900900900901,nan,1.0010230243269678,nan
C ^ z,3,-10.933512774165392,nan,-11.0973386179848,nan,-11.273581680365538,nan,1.1542846840296688,nan,1.1534260463212767,nan,1.005957862353542,nan,1.0045043834344434,nan
C e J,3,-13.351663614037278,nan,-13.361138143975312,nan,-13.680578715194676,nan,1.0675875263831083,nan,1.067702245168478,nan,1.0032070159983746,nan,1.0026260228964847,nan
z i S,3,-11.234618060868003,nan,-14.945320094680596,nan,-14.956355004199793,nan,1.0694042533094756,nan,1.0694912845624232,nan,1.0006006006006005,nan,1.0008168812636817,nan
z u v,3,-11.955947199525141,nan,-14.406312512817411,nan,-14.408610184895403,nan,1.0697779641436753,nan,1.0698533647603081,nan,1.0032712075349937,nan,1.0026567868543317,nan
D Y p,3,-12.086520967643208,nan,-13.40506617960894,nan,-13.383970682573693,nan,1.0813300288489114,nan,1.0812766586820926,nan,1.0011851533170464,nan,1.001221476400792,nan
s R k,3,-9.726525125948474,nan,-11.587966390771832,nan,-11.593071471052022,nan,1.2017244158801863,nan,1.20034252291465,nan,1.0040437253626566,nan,1.0032136881284954,nan
b R s,3,-10.343381144046246,nan,-10.468556820152346,nan,-10.564420751940935,nan,1.1371598513156216,nan,1.136489667725061,nan,1.0049446262635575,nan,1.0038321173183533,nan
T ^ z,3,-11.594083784290724,nan,-11.13614533817005,nan,-11.433314989479932,nan,1.1503164300614148,nan,1.1495011794864014,nan,1.0051051051051052,nan,1.0039090272129707,nan
S c G,3,-12.577934051047675,nan,-12.822805437323304,nan,-12.766406087032152,nan,1.0774176193225167,nan,1.0774129043042449,nan,1.0021021021021022,nan,1.0018475965801115,nan
J e J,3,-13.763773264864112,nan,-12.773371608100257,nan,-13.215362907934995,nan,1.0678709730951266,nan,1.0679825927995403,nan,1.0032070159983746,nan,1.0026260228964847,nan
D ^ z,3,-10.888197577953349,nan,-9.029621328080971,nan,-9.311118825528562,nan,1.1616542985421405,nan,1.160715084728902,nan,1.0136326775894713,nan,1.009862589427696,nan
S Y p,3,-11.978632005632022,nan,-14.871850528551901,nan,-14.634680964751318,nan,1.0714093939282765,nan,1.0714644915949045,nan,1.000900900900901,nan,1.0010230243269678,nan
n W C,3,-12.378754598331817,nan,-13.487089030908866,nan,-13.579809020575672,nan,1.060515305538858,nan,1.060703889221488,nan,1.0017376102651827,nan,1.0016106895589785,nan
l W C,3,-12.401143593225296,nan,-11.968664206077209,nan,-12.1597643168164,nan,1.066751133203257,nan,1.0668715371048634,nan,1.0006006006006005,nan,1.0008168812636817,nan
S c d,3,-12.00237995458119,nan,-15.494292777074905,nan,-14.80199430604016,nan,1.0879281298330272,nan,1.0878017437224698,nan,1,1,1.0004045951371099,1.0
g i J,3,-12.239163840497046,nan,-inf,nan,-14.869132692555594,nan,1.0834524852148502,nan,1.083393830932745,nan,1,1,1.0004045951371099,1.0
C u T,3,-14.040638986138461,nan,-13.663463324753153,nan,-13.918577752779433,nan,1.0540076019447415,nan,1.0542704800955234,nan,1.0017376102651827,nan,1.0016106895589785,nan
D i g,3,-11.78173899345817,nan,-13.789890861467514,nan,-13.859526628622294,nan,1.0904329350524429,nan,1.0902861886762938,nan,1.001153057548737,nan,1.0012060944218686,nan
w u T,3,-13.30534618412775,nan,-14.839623161922942,nan,-14.483235698640927,nan,1.082919166570592,nan,1.0828659384639001,nan,1.000884853016746,nan,1.001015333337506,nan
T c T,3,-14.831058143472017,nan,-13.171411139971392,nan,-13.637635196433195,nan,1.0582826680447082,nan,1.0584985511296388,nan,1.0008527572484367,nan,1.0009999513585826,nan
g u T,3,-13.258826168492856,nan,-14.066244291358744,nan,-14.108032221476956,nan,1.0727150849379388,nan,1.0727734237456494,nan,1.0006006006006005,nan,1.0008168812636817,nan
f R s,3,-10.374797340279626,nan,-12.697544102876716,nan,-12.55376457250802,nan,1.117885474898388,nan,1.11742602881281,nan,1.0026706069343931,nan,1.0022445007277598,nan
J Y m,3,-12.570614061764244,nan,-12.922192445057703,nan,-12.710506418203835,nan,1.0796492664538633,nan,1.079610799606331,nan,1.0024024024024023,nan,1.0020537396433973,nan
n R z,3,-10.15879688166221,nan,-10.906588290790163,nan,-10.982774900772931,nan,1.0948251696952258,nan,1.0946190125828539,nan,1.0035554599511394,nan,1.002855238928156,nan
m R n,3,-10.147146264442236,nan,-11.24541437268393,nan,-11.319926912828846,nan,1.1622824228667648,nan,1.1613062996540848,nan,1.0024024024024023,nan,1.0020537396433973,nan
C u S,3,-13.2268638177899,nan,-13.550476461360262,nan,-13.684842345593491,nan,1.0651187130558526,nan,1.065252967480504,nan,1.0023382108657835,nan,1.0020229756855503,nan
S e J,3,-13.198459455814051,nan,-13.038918605483465,nan,-13.39710592840966,nan,1.0650365059749451,nan,1.0651791164889153,nan,1.0040597732468113,nan,1.0032213791179572,nan
T ^ S,3,-12.66192441429208,nan,-13.46672044686897,nan,-13.811685344521095,nan,1.12539150513649,nan,1.1248647888660392,nan,1.0021021021021022,nan,1.0018475965801115,nan
v e D,3,-12.691162778735002,nan,-inf,nan,-19.354565489459556,nan,1.0649721559105951,nan,1.0651129614379522,nan,1,1,1.0004045951371099,1.0
C ^ S,3,-12.001353404166748,nan,-13.427913726683721,nan,-13.651952035406701,nan,1.129359759104744,nan,1.1287896557009145,nan,1.0029548593505389,nan,1.0024429528015841,nan
n c T,3,-12.487035860613798,nan,-13.884356335292027,nan,-14.075265078512059,nan,1.0801080648701051,nan,1.0800853187214525,nan,1.0011370096645822,nan,1.0011984034324066,nan
s R p,3,-10.027742994327875,nan,-11.13530620320138,nan,-11.214626359359997,nan,1.182505196660967,nan,1.1813457879784672,nan,1.0034431247620559,nan,1.0028014020019236,nan
D i D,3,-12.51823661489173,nan,-15.708198926617353,nan,-15.606868118492642,nan,1.0760185206380286,nan,1.0760386374741566,nan,1.001153057548737,nan,1.0012060944218686,nan
S c g,3,-12.574899147352522,nan,-14.64330816695672,nan,-14.560871917857952,nan,1.076817018721916,nan,1.0768192563374892,nan,1.0015015015015014,nan,1.0014353104535396,nan
C i S,3,-12.455662849092587,nan,-13.292058012876417,nan,-13.4681090726402,nan,1.0770573145339652,nan,1.0770606706011112,nan,1.0023061150974737,nan,1.0020075937066268,nan
g i D,3,-11.78173899345817,nan,-14.393425883337772,nan,-14.360091190583102,nan,1.087356389118754,nan,1.0872525427166573,nan,1.0003003003003004,nan,1.000610738200396,nan
T c S,3,-14.017282975123457,nan,-11.596906494221022,nan,-12.058427422647618,nan,1.0693937791558192,nan,1.0694810385146194,nan,1.0065584629541424,nan,1.0049166695610152,nan
z u T,3,-12.819594197913876,nan,-16.27953615406638,nan,-16.23973280727413,nan,1.046354540720252,nan,1.0467010940568353,nan,1.0011691054328915,nan,1.00121378541133,nan
S Y m,3,-12.005300252714184,nan,-13.033588762613654,nan,-12.972292146352036,nan,1.0768147993336818,nan,1.076807323295706,nan,1.0024024024024023,nan,1.0020537396433973,nan
D ^ v,3,-11.906166377914532,nan,-9.82880123135266,nan,-10.217265108330945,nan,1.149041685929528,nan,1.148248477427032,nan,1.0160350799918736,nan,1.0115117339339834,nan
t W C,3,-12.218822036431341,nan,-12.617589424013714,nan,-12.724497029365743,nan,1.1052998860377243,nan,1.1049988149293657,nan,1.002874619929765,nan,1.0024044978542752,nan
g Y b,3,-11.66566149592802,nan,-inf,nan,-15.163634112073218,nan,1.0740492787110183,nan,1.074087476955166,nan,1,1,1.0004045951371099,1.0
r c S,3,-11.590666601209088,nan,-10.374489322568655,nan,-10.681384828199658,nan,1.106808745142214,nan,1.1064869258148717,nan,1.0076954726187244,nan,1.005710477856312,nan
d R s,3,-9.932774636437664,nan,-11.589848128986201,nan,-11.625118910507041,nan,1.1224206222906783,nan,1.12191159090981,nan,1.0035233641828298,nan,1.0028398569492325,nan
S c z,3,-12.13566717677354,nan,-13.070418759955313,nan,-12.927995432451832,nan,1.0957359376408349,nan,1.0955191672902942,nan,1.0012012012012013,nan,1.0012291673902536,nan
y c d,3,-12.00807797569583,nan,-14.782024555068181,nan,-14.104206745923713,nan,1.0986991048897166,nan,1.0984549537028454,nan,1.000568504832291,nan,1.0008014992847583,nan
J u S,3,-13.638973468616731,nan,-13.116860605312466,nan,-13.353157930958332,nan,1.065402159767871,nan,1.0655333151115665,nan,1.0023382108657835,nan,1.0020229756855503,nan
h u S,3,-13.056757848764068,nan,-13.24786509526876,nan,-13.256971791576547,nan,1.0869441098812496,nan,1.0868397350723178,nan,1.002053958449638,nan,1.0018245236117262,nan
g u S,3,-12.445051000144296,nan,-13.953257427965855,nan,-13.87429681429101,nan,1.0838261960490498,nan,1.08375591113063,nan,1.0012012012012013,nan,1.0012291673902536,nan
y R z,3,-11.694742017286506,nan,-9.878034316483221,nan,-10.09218344257138,nan,1.085187981486609,nan,1.0850871931267283,nan,1.0032712075349937,nan,1.0026567868543317,nan
C e g,3,-12.157741145564843,nan,-13.995444824512324,nan,-14.10692811646976,nan,1.0859058447014265,nan,1.0858085081545272,nan,1.0029067156980744,nan,1.0024198798331987,nan
z i J,3,-11.799931869918064,nan,-inf,nan,-16.90986150014704,nan,1.0570919409971633,nan,1.057321501243931,nan,1,1,1.0004045951371099,1.0
m u S,3,-11.99416841234534,nan,-12.200980702908778,nan,-12.318597534649584,nan,1.099982658634084,nan,1.0997357261011935,nan,1.0046122301949476,nan,1.0036105922761438,nan
D Y m,3,-12.11318921472537,nan,-11.566804413670692,nan,-11.72158186417441,nan,1.0867354342543167,nan,1.086619490382894,nan,1.0026866548185478,nan,1.0022521917172216,nan
J e g,3,-12.569850796391677,nan,-13.40767828863727,nan,-13.641712309210078,nan,1.0861892914134448,nan,1.0860888557855897,nan,1.0029067156980744,nan,1.0024198798331987,nan
f u v,3,-12.264682681174754,nan,-11.539398180273473,nan,-11.677980296041028,nan,1.1165466716266683,nan,1.1161107238856236,nan,1.0035554599511394,nan,1.002855238928156,nan
v R n,3,-11.176765681623394,nan,-11.111587165828587,nan,-11.327959084526109,nan,1.1208992029121163,nan,1.1203755455189575,nan,1.0024024024024023,nan,1.0020537396433973,nan
g i C,3,-11.827054189670214,nan,-11.980987072994113,nan,-12.204834552068691,nan,1.0903593921217571,nan,1.090220782550436,nan,1.0006006006006005,nan,1.0008168812636817,nan
C i D,3,-12.563551811103771,nan,-14.858145484436902,nan,-14.912574066614958,nan,1.0686489061255569,nan,1.0687495990665312,nan,1.0020058147971735,nan,1.001801450643341,nan
C Y z,3,-12.170155028157387,nan,-11.431913063606707,nan,-11.519922412660877,nan,1.082368822744848,nan,1.0822986918090471,nan,1.0012012012012013,nan,1.0012291673902536,nan
d c T,3,-12.816155122929754,nan,-12.342131785086865,nan,-12.622436137757434,nan,1.1059017156637558,nan,1.1055969531481415,nan,1.0025582717453099,nan,1.0021906638015274,nan
y R v,3,-12.71271081724769,nan,-12.592352710143473,nan,-12.760236231452138,nan,1.0725753688739965,nan,1.0726205858248583,nan,1.0017697060334922,nan,1.001626071537902,nan
z i g,3,-10.606009401445629,nan,-14.593099501091245,nan,-14.653478508304207,nan,1.0754102593154815,nan,1.0754277642299803,nan,1.0003003003003004,nan,1.000610738200396,nan
S e g,3,-12.004536987341616,nan,-13.673225286020477,nan,-13.823455329684744,nan,1.0833548242932634,nan,1.0832853794749646,nan,1.0037594729465111,nan,1.0030152360546711,nan
C e D,3,-12.894238766998402,nan,-inf,nan,-17.67134688355245,nan,1.0714914302870122,nan,1.07156095695239,nan,1.0017055144968732,nan,1.001595307580055,nan
n W T,3,-13.039325608457148,nan,-13.465597980073202,nan,-13.71340585608494,nan,1.0548095998331524,nan,1.0550642335373086,nan,1.0017376102651827,nan,1.0016106895589785,nan
T ^ J,3,-13.227238223342141,nan,-15.417084946273665,nan,-15.542048289154133,nan,1.1130791928241777,nan,1.112695005547547,nan,1.0006006006006005,nan,1.0008168812636817,nan
T c g,3,-13.388674315701083,nan,-13.281567827892712,nan,-13.586531109133364,nan,1.075399785161825,nan,1.0754175181821766,nan,1.002354258749938,nan,1.0020306666750123,nan
