word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.696296222786183,nan,-9.883272628395215,nan,-10.058875126751506,nan,1.1737644005329568,nan,1.1727066975109008,nan,1.0098054619785426,nan,1.007217365312751,nan
b i l,3,-9.977354142730917,nan,-9.637335513419446,nan,-9.781330476991302,nan,1.1909034767442768,nan,1.1896375788582318,nan,1.0101359566781654,nan,1.0074380577894961,nan
b i s,3,-9.84936907602695,nan,-11.041531866631301,nan,-11.036733979189703,nan,1.1664404695843722,nan,1.1654559215300102,nan,1.0062576750552537,nan,1.0047702966567236,nan
b R s,3,-10.272852689637793,nan,-10.294648097966599,nan,-10.40372134447461,nan,1.1404737746930371,nan,1.139771946097291,nan,1.0051930190088763,nan,1.0040113674050748,nan
b Y s,3,-10.616624228740617,nan,-10.985773033145776,nan,-11.053346811117782,nan,1.146400955048668,nan,1.1456345926634552,nan,1.0025884681684347,nan,1.0022031560564078,nan
b ^ l,3,-9.535157025354023,nan,-8.384366215185498,nan,-8.540097294977706,nan,1.2386031662729249,nan,1.236817925033553,nan,1.0147162343038174,nan,1.0106285756152562,nan
C @ l,3,-11.292893517370457,nan,-11.759084340586414,nan,-11.952079217475843,nan,1.1481735690261528,nan,1.1473710619131998,nan,1.0064667497913464,nan,1.0048709171891803,nan
C i D,3,-12.600478766589607,nan,-14.694879232749852,nan,-14.798572389646704,nan,1.068653934020289,nan,1.0687549069880449,nan,1.0025563028244204,nan,1.0021876759744914,nan
C i n,3,-10.932163488452675,nan,-10.579369328557048,nan,-10.825668210081782,nan,1.1536778003687376,nan,1.1528009111166204,nan,1.0067329138029406,nan,1.0050606495020926,nan
C R J,3,-13.442414683835427,nan,-13.870961821006713,nan,-13.985000313131055,nan,1.0405989336396937,nan,1.041006643734624,nan,1,1,1.000402684748699,1.0
C R g,3,-12.324384309310215,nan,-14.08275179951127,nan,-14.123284271783373,nan,1.0590953536874264,nan,1.0592903358608403,nan,1.0002983293556087,nan,1.0006078971435277,nan
C R T,3,-13.624736240629382,nan,-13.388535671762419,nan,-13.669888378937298,nan,1.0411955923509109,nan,1.0415964402548243,nan,1.0002983293556087,nan,1.0006078971435277,nan
C ^ J,3,-12.57673395284769,nan,-15.055096283112983,nan,-15.082304557139148,nan,1.1142653180596769,nan,1.1138709653426642,nan,1.0017256454456231,nan,1.0016029989538382,nan
C ^ n,3,-10.48996637107578,nan,-10.54267386927096,nan,-10.728148640875924,nan,1.2013774898973857,nan,1.1999812572919417,nan,1.016343783870444,nan,1.011658406300442,nan
C ^ S,3,-12.036920792208447,nan,-13.35953310045163,nan,-13.599995542779668,nan,1.125900162928412,nan,1.1253719974865743,nan,1.0032172922236662,nan,1.0026290609279815,nan
C ^ C,3,-12.191071472035706,nan,-13.321495728058462,nan,-13.576465045369474,nan,1.1202319051718488,nan,1.1197689305446694,nan,1.0032172922236662,nan,1.0026290609279815,nan
d i k,3,-9.690393405436156,nan,-11.395419289823575,nan,-11.457528133302777,nan,1.1570115658444156,nan,1.15612459184098,nan,1.0057735950480864,nan,1.0044140521537739,nan
d i s,3,-9.469749508249484,nan,-11.883037629134536,nan,-11.84178191197117,nan,1.1495533319542006,nan,1.1487521353384733,nan,1.0042819482700436,nan,1.0033879901796305,nan
d i t,3,-9.388595071723257,nan,-10.094839202815331,nan,-10.19416455543764,nan,1.1761046446033654,nan,1.174998080487397,nan,1.0072652418261294,nan,1.005440114127917,nan
d E p,3,-10.412691308248306,nan,-12.165364326140695,nan,-12.215756577651588,nan,1.1526435626487632,nan,1.1518153066292467,nan,1.0046124429696661,nan,1.0036086826563757,nan
d R s,3,-9.893233121860327,nan,-11.046708800117907,nan,-11.119973778472945,nan,1.1235866370628655,nan,1.1230681599057541,nan,1.0034995389072676,nan,1.002826533281852,nan
D i D,3,-12.567688943766615,nan,-15.58989256617672,nan,-15.53315928230749,nan,1.077378955129211,nan,1.077385196520339,nan,1.0014273160900147,nan,1.0013977865590096,nan
D i g,3,-11.86811087287638,nan,-13.64026093598768,nan,-13.721360471378079,nan,1.0937870696876835,nan,1.0936046008258535,nan,1.0017256454456231,nan,1.0016029989538382,nan
D i C,3,-12.600478766589607,nan,-13.198947799204873,nan,-13.36125251295556,nan,1.0812572367521227,nan,1.0812188739016424,nan,1.0020239748012318,nan,1.0018082113486668,nan
d I J,3,-11.1579388993646,nan,-11.932726480583893,nan,-12.18599768701869,nan,1.1669215230897687,nan,1.165955192466902,nan,1.0079029071408412,nan,1.0059319106570719,nan
d I D,3,-10.739486595729623,nan,-13.96061669665297,nan,-13.9382547132705,nan,1.169009828579029,nan,1.1680194802876038,nan,1.008797895207667,nan,1.0065475478415578,nan
d Y p,3,-10.761644206093127,nan,-12.961543732598875,nan,-12.916776666641596,nan,1.1187739606165872,nan,1.1183144691083087,nan,1.0025884681684347,nan,1.0022031560564078,nan
d Y t,3,-10.155850224436925,nan,-10.564182081743676,nan,-10.641391256039972,nan,1.1560651300676612,nan,1.155176751620842,nan,1.0061684204357377,nan,1.0046657047943517,nan
d I T,3,-11.340260456158553,nan,-12.54891262000771,nan,-12.746354490178833,nan,1.1675181818009859,nan,1.1665449889871025,nan,1.0082012364964499,nan,1.0061371230519005,nan
d I Z,3,-13.991152243420817,nan,-inf,nan,-16.30055904096617,nan,1.1636399001780742,nan,1.162711311605799,nan,1.0079029071408412,nan,1.0059319106570719,nan
f i k,3,-10.14697401434975,nan,-11.83271798010706,nan,-11.886693435788288,nan,1.1525083291430365,nan,1.1516702488565702,nan,1.004362361630079,nan,1.0034266903844216,nan
f i s,3,-9.92633011716308,nan,-12.32033631941802,nan,-12.270947214456681,nan,1.1450500952528215,nan,1.1442977923540636,nan,1.0028707148520362,nan,1.0024006284102782,nan
f R s,3,-10.34981373077392,nan,-12.40767832957317,nan,-12.285961325021063,nan,1.1190834003614865,nan,1.1186138169213444,nan,1.002652798856463,nan,1.0022341162202406,nan
f R t,3,-10.268659294247694,nan,-11.279837260990918,nan,-11.203894491942771,nan,1.1456347130106512,nan,1.144859762070268,nan,1.0029511282120716,nan,1.0024393286150692,nan
f Y k,3,-10.914229167063418,nan,-10.292272939159911,nan,-10.465660921565373,nan,1.132468814607332,nan,1.1318489199900152,nan,1.0048786069812607,nan,1.003798414969288,nan
