word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.656416196350143,nan,-12.134883336967228,nan,-12.570035016516501,nan,1.0950094934348167,nan,1.0947162316740806,nan,1.0023834061556893,nan,1.0019427704680492,nan
g i T,3,-12.65943095320927,nan,-12.280116369371518,nan,-12.792543143531535,nan,1.096619170385975,nan,1.0963004383521213,nan,1.0019944524411815,nan,1.0017030198087349,nan
z i T,3,-11.867502228089542,nan,-15.317471773645343,nan,-15.630733577102198,nan,1.0671389531633215,nan,1.0672706446164453,nan,1.0023834061556893,nan,1.0019427704680492,nan
y c g,3,-13.539123970740135,nan,-13.771251297536024,nan,-13.738431329844339,nan,1.0695985607067262,nan,1.069684458350839,nan,1.0024165287347837,nan,1.0019551530648165,nan
l R z,3,-10.111852500798602,nan,-9.560831699750805,nan,-9.747034337544516,nan,1.0943870646328355,nan,1.0940886944522061,nan,1.000794468718563,nan,1.0009713852340247,nan
J Y p,3,-12.603771595714486,nan,-inf,nan,-14.636107425355576,nan,1.0959291939885822,nan,1.09559523345173,nan,1.0020275750202758,nan,1.0017154024055022,nan
C ^ z,3,-11.02509435299653,nan,-10.781519574516782,nan,-11.026954070985877,nan,1.140735923827668,nan,1.1397265450104164,nan,1.0044441037550593,nan,1.0031848628533064,nan
C e J,3,-13.819467863736483,nan,-12.815459801079129,nan,-13.29840552491029,nan,1.0725194990031468,nan,1.0725697588307597,nan,1.0039557823032685,nan,1.00290796440369,nan
z i S,3,-10.939954341690754,nan,-16.46816321135834,nan,-16.28612632043139,nan,1.074032708232259,nan,1.074054363690667,nan,1.0011668611435238,nan,1.0012049445949551,nan
z u v,3,-12.39920176914552,nan,-15.512820964824991,nan,-15.477625641786279,nan,1.0619670990275891,nan,1.0621676103972306,nan,1.003210997453347,nan,1.0024408456818288,nan
D Y p,3,-13.386530934964119,nan,-inf,nan,-15.064334525578838,nan,1.088171242087884,nan,1.0879558140476047,nan,1.0020275750202758,nan,1.0017154024055022,nan
s R k,3,-9.565159183526642,nan,-11.046201160509037,nan,-11.148459055939977,nan,1.2220566526434338,nan,1.2197763488943791,nan,1.0079446871856312,nan,1.005342618787135,nan
b R s,3,-10.007554207397668,nan,-9.803480672212212,nan,-9.965177624186245,nan,1.1843075786584956,nan,1.182612067234534,nan,1.0071170958879736,nan,1.0048445435733555,nan
T ^ z,3,-11.718241533556474,nan,-11.267027390298484,nan,-11.629638390975824,nan,1.133365869522005,nan,1.1324690965764974,nan,1.0044441037550593,nan,1.0031848628533064,nan
S c G,3,-12.541794210294723,nan,-12.409587569933068,nan,-12.188646920006532,nan,1.0687346784715555,nan,1.0688351597690395,nan,1.0020110137307285,nan,1.0017092111071186,nan
J e J,3,-14.23441171579919,nan,-12.943182178638072,nan,-13.487506768689624,nan,1.0705800110279724,nan,1.0706599039797284,nan,1.0027889211597445,nan,1.0021887124257471,nan
D ^ z,3,-12.22279754430887,nan,-12.21775861215293,nan,-12.40642246703537,nan,1.1310384839517953,nan,1.1301772707552598,nan,1.0040551500405515,nan,1.002945112193992,nan
S Y p,3,-11.954427037812936,nan,-13.134576120290905,nan,-13.276073231328507,nan,1.0990323747488615,nan,1.09865100121338,nan,1.0031944361637997,nan,1.002434654383445,nan
n W C,3,-12.749298597906936,nan,-14.484465567997383,nan,-14.343326324135662,nan,1.0575938257586077,nan,1.0578688908944522,nan,1.0011999837226182,nan,1.0012173271917226,nan
l W C,3,-12.803116349299405,nan,-11.755120807208264,nan,-12.226504593586027,nan,1.0669033680394455,nan,1.0670361941794027,nan,1.0015889374371263,nan,1.0014570778510368,nan
S c d,3,-12.089224632999086,nan,-15.18276074572543,nan,-14.356996257208603,nan,1.0991483037756915,nan,1.0987633321553125,nan,1.0003889537145079,nan,1.0007254432763266,nan
g i J,3,-12.381227624712034,nan,-14.167757610302854,nan,-14.057390851241975,nan,1.0958081403778646,nan,1.095502353755154,nan,1.0011834224330711,nan,1.0012111358933389,nan
C u T,3,-14.439714473904388,nan,-12.37753474770518,nan,-12.999775723030512,nan,1.0573834267164304,nan,1.057665047564073,nan,1.0023834061556893,nan,1.0019427704680492,nan
D i g,3,-13.163986963961666,nan,-inf,nan,-17.25641936313092,nan,1.082460436272316,nan,1.0823488953174365,nan,1.000777907429016,nan,1.0009651939356408,nan
w u T,3,-13.73251553988879,nan,-13.474931317698152,nan,-13.45166319529163,nan,1.0934579030546772,nan,1.0931883477932556,nan,1.0016054987266734,nan,1.0014632691494207,nan
T c T,3,-15.238843095320625,nan,-13.8556734112987,nan,-14.210247374629247,nan,1.0488465112672432,nan,1.04925861406696,nan,1.0003889537145079,nan,1.0007254432763266,nan
g u T,3,-13.893667415175035,nan,-13.06078292794802,nan,-13.34866852652719,nan,1.0752267160880364,nan,1.0752357121935612,nan,1.0016054987266734,nan,1.0014632691494207,nan
f R s,3,-10.503616210858059,nan,-11.231559973057411,nan,-11.338975086092901,nan,1.14280253598976,nan,1.1417411734224636,nan,1.003616512457402,nan,1.0026867876395267,nan
J Y m,3,-12.7886939342085,nan,-inf,nan,-13.727206358769765,nan,1.10363397906563,nan,1.1031770371229193,nan,1.0012165450121655,nan,1.0012235184901064,nan
n R z,3,-10.058034749406131,nan,-10.847792632768991,nan,-10.9193944592533,nan,1.0850775223519977,nan,1.0849213911672557,nan,1.000794468718563,nan,1.0009713852340247,nan
m R n,3,-10.108807074779556,nan,-11.395945562422785,nan,-11.502249931199714,nan,1.1680677881043209,nan,1.1666012952263907,nan,1.003210997453347,nan,1.0024408456818288,nan
C u S,3,-13.5121665875056,nan,-12.611935453544024,nan,-12.962021285799757,nan,1.0642771817853678,nan,1.0644487666382947,nan,1.0023834061556893,nan,1.0019427704680492,nan
S e J,3,-13.585067157897639,nan,-12.570287426656089,nan,-13.04376330653671,nan,1.0736831917882517,nan,1.0737156717413785,nan,1.0051226434467924,nan,1.003627216381633,nan
T ^ S,3,-12.821816611566714,nan,-13.30228542948291,nan,-13.768176391505209,nan,1.1183618143719645,nan,1.1177045315326026,nan,1.0028220437388389,nan,1.0022010950225146,nan
v e D,3,-14.592837462636275,nan,-inf,nan,-19.580295630415804,nan,1.0604242039209837,nan,1.060660373441256,nan,1,1,1.0004856926170123,1.0
C ^ S,3,-12.12866943100677,nan,-12.816777613701207,nan,-13.165492071515263,nan,1.1257318686776274,nan,1.1249619799665216,nan,1.0028220437388389,nan,1.0022010950225146,nan
n c T,3,-12.704846835336102,nan,-15.067913831300903,nan,-14.94459721632846,nan,1.0701808789941631,nan,1.0702670174283044,nan,1,1,1.0004856926170123,1.0
s R p,3,-9.81478869144263,nan,-11.365769282580949,nan,-11.470143545032295,nan,1.1932650873555182,nan,1.1914443457020407,nan,1.0067281421734657,nan,1.0046047929140411,nan
D i D,3,-14.907737214003362,nan,-inf,nan,-17.744670664858376,nan,1.0666453511141651,nan,1.0667862456765747,nan,1.0011834224330711,nan,1.0012111358933389,nan
S c g,3,-13.072100969632537,nan,-14.1641663264899,nan,-14.002582904885926,nan,1.070762253491831,nan,1.0708303712614577,nan,1.0024165287347837,nan,1.0019551530648165,nan
C i S,3,-12.277930125539836,nan,-13.583807651042298,nan,-13.718082291770273,nan,1.0856696360833062,nan,1.0855134927968548,nan,1.0027226760015557,nan,1.0021639472322124,nan
g i D,3,-13.163986963961666,nan,-inf,nan,-15.653223111620298,nan,1.0941860803616439,nan,1.0939061845612195,nan,1.0011834224330711,nan,1.0012111358933389,nan
T c S,3,-14.311295208921836,nan,-13.866930565823333,nan,-13.990171380604538,nan,1.0557402663361806,nan,1.0560423331411817,nan,1.0020110137307285,nan,1.0017092111071186,nan
z u T,3,-13.101738690055306,nan,-16.098138332221843,nan,-16.18685896009785,nan,1.045746498865383,nan,1.0462059184578851,nan,1.0019944524411815,nan,1.0017030198087349,nan
S Y m,3,-12.13934937630695,nan,-12.12845467437705,nan,-12.367172164742696,nan,1.1067371598259093,nan,1.1062328048845693,nan,1.0023834061556893,nan,1.0019427704680492,nan
D ^ v,3,-13.551383587808115,nan,-13.849813522396406,nan,-14.209953823105153,nan,1.1253612738950234,nan,1.1245906785764888,nan,1.0040551500405515,nan,1.002945112193992,nan
t W C,3,-12.573987585599198,nan,-12.41906689102916,nan,-12.785588862109972,nan,1.0831950670309118,nan,1.0830789749280658,nan,1.0027557985806501,nan,1.0021763298289799,nan
g Y b,3,-11.835546200877463,nan,-15.273054822072847,nan,-15.01856372532665,nan,1.0938141611163845,nan,1.093527468814133,nan,1.0019944524411815,nan,1.0017030198087349,nan
r c S,3,-11.869768854764061,nan,-11.892028858589894,nan,-12.184480107187888,nan,1.083668893178694,nan,1.0835442429960327,nan,1.0023999674452366,nan,1.0019489617664328,nan
d R s,3,-9.757991093049498,nan,-10.458508894668546,nan,-10.601592929031652,nan,1.14357833117983,nan,1.1425051153628762,nan,1.003616512457402,nan,1.0026867876395267,nan
S c z,3,-12.280172244512807,nan,-12.671209535714983,nan,-12.375486102164746,nan,1.0792780685769892,nan,1.0792102595296142,nan,1.0016054987266734,nan,1.0014632691494207,nan
y c d,3,-12.556247634106684,nan,-14.789845716771554,nan,-14.092844682167016,nan,1.0979846109905866,nan,1.0976174192446937,nan,1.0003889537145079,nan,1.0007254432763266,nan
J u S,3,-13.927110439568306,nan,-12.334192722994802,nan,-12.814650292957879,nan,1.0623376938101934,nan,1.0625389117872635,nan,1.0031613135847053,nan,1.002422271786678,nan
h u S,3,-13.285256553395913,nan,-12.648013241191848,nan,-12.733547139797903,nan,1.0949210917931258,nan,1.0946244732845896,nan,1.0019944524411815,nan,1.0017030198087349,nan
g u S,3,-12.966119528776245,nan,-13.295183633786865,nan,-13.310914089296435,nan,1.0821204711569739,nan,1.0820194312677829,nan,1.0016054987266734,nan,1.0014632691494207,nan
y R z,3,-12.131506124099465,nan,-9.09177548886111,nan,-9.538024483744088,nan,1.071113208930741,nan,1.0711704362398302,nan,1.0011834224330711,nan,1.0012111358933389,nan
C e g,3,-12.858476952944422,nan,-inf,nan,-15.322277215435316,nan,1.086712524145077,nan,1.086536239277687,nan,1.0023337222870479,nan,1.001924196572898,nan
z i J,3,-11.589298899592304,nan,-17.205113014576682,nan,-16.895581284812636,nan,1.0663279231552112,nan,1.066472560019478,nan,1.001572376147579,nan,1.0014508865526532,nan
m u S,3,-12.22496312902994,nan,-11.539737343981978,nan,-11.803568996775631,nan,1.0991879653385097,nan,1.0988261539568585,nan,1.0066618970152772,nan,1.0045800277205068,nan
D Y m,3,-13.571453273458133,nan,-inf,nan,-14.155433458993025,nan,1.0958760271649317,nan,1.0955376177187939,nan,1.0012165450121655,nan,1.0012235184901064,nan
J e g,3,-13.273420805007127,nan,-inf,nan,-15.511378459214649,nan,1.0847730361699026,nan,1.0846263844266557,nan,1.0011668611435238,nan,1.0012049445949551,nan
f u v,3,-12.95387927544036,nan,-11.549565969570374,nan,-11.86080169820493,nan,1.1112300935970227,nan,1.110677923613426,nan,1.0035999511678548,nan,1.0026805963411431,nan
v R n,3,-11.386620792905376,nan,-11.799890418310692,nan,-12.108104242861062,nan,1.1226837694852365,nan,1.1219106917122579,nan,1.002433090024331,nan,1.0019613443632003,nan
g i C,3,-11.966283772649327,nan,-12.434267049198777,nan,-12.728855324274276,nan,1.1027018954468022,nan,1.102286072829376,nan,1.0023999674452366,nan,1.0019489617664328,nan
C i D,3,-13.71003402269102,nan,-inf,nan,-15.923369516529844,nan,1.0763427909900378,nan,1.0763355199317313,nan,1.003128191005611,nan,1.0024098891899105,nan
C Y z,3,-12.322977756772369,nan,-11.827043258255246,nan,-11.655827595990516,nan,1.0808370517934403,nan,1.0807453117664485,nan,1.000794468718563,nan,1.0009713852340247,nan
d c T,3,-13.016772519397875,nan,-12.0667810339384,nan,-12.545800706721867,nan,1.0946184274813626,nan,1.0943311885512992,nan,1.0027226760015557,nan,1.0021639472322124,nan
y R v,3,-13.46009216759871,nan,-12.580128389470213,nan,-12.966261224378758,nan,1.065435998873969,nan,1.0655838440610592,nan,1.0015889374371263,nan,1.0014570778510368,nan
z i g,3,-10.628307988800243,nan,-inf,nan,-18.003162243463507,nan,1.0805209482971414,nan,1.0804390404664053,nan,1.0011668611435238,nan,1.0012049445949551,nan
S e g,3,-12.624076247105577,nan,-inf,nan,-15.067634997061734,nan,1.0878762169301819,nan,1.0876821521883058,nan,1.0035005834305717,nan,1.002643448550841,nan
C e D,3,-14.602227202986114,nan,-inf,nan,-17.19682287828266,nan,1.0708974389869261,nan,1.070973589636825,nan,1.0023337222870479,nan,1.001924196572898,nan
n W T,3,-13.44244577846688,nan,-inf,nan,-16.01645205582702,nan,1.0515111006977804,nan,1.0518832564171976,nan,1.0003889537145079,nan,1.0007254432763266,nan
T ^ J,3,-13.471161169468266,nan,-15.911037409602837,nan,-15.918076396833607,nan,1.1106570292949167,nan,1.1101227278614136,nan,1.000794468718563,nan,1.0009713852340247,nan
T c g,3,-13.999648856031325,nan,-13.978555784820488,nan,-14.097769391202556,nan,1.062228506401063,nan,1.06242700991692,nan,1.0024165287347837,nan,1.0019551530648165,nan
n c G,3,-10.93534583670899,nan,-13.43621744826586,nan,-13.018183248022373,nan,1.0815352991077074,nan,1.0814402017858462,nan,1.0016220600162207,nan,1.0014694604478043,nan
s R n,3,-9.446065408987723,nan,-10.488780154537153,nan,-10.603005206808456,nan,1.2382772528056398,nan,1.2357380408337246,nan,1.0063226271694108,nan,1.0043588509563433,nan
s R d,3,-9.757991093049496,nan,-9.734348090686867,nan,-9.895723091994878,nan,1.1961036923839041,nan,1.1942376417914262,nan,1.0063226271694108,nan,1.0043588509563433,nan
J e D,3,-15.017171055048824,nan,-inf,nan,-17.385924122061994,nan,1.0689579510117517,nan,1.0690637347857939,nan,1.0011668611435238,nan,1.0012049445949551,nan
b c T,3,-13.266335633746046,nan,-10.932956430288352,nan,-11.46755264959742,nan,1.1353476749600282,nan,1.1344381404229569,nan,1.0023337222870479,nan,1.001924196572898,nan
y ^ z,3,-11.257716648265284,nan,-9.213896212515689,nan,-9.660862417183505,nan,1.140735923827668,nan,1.1397265450104164,nan,1.0067778260421072,nan,1.0046233668091922,nan
y c T,3,-14.778318210029433,nan,-13.648368924014235,nan,-13.85090931327103,nan,1.0562165655729063,nan,1.056516062500879,nan,1.0003889537145079,nan,1.0007254432763266,nan
k R n,3,-9.674255228369557,nan,-10.960210030220882,nan,-11.07097423433545,nan,1.1948327221617299,nan,1.1929572921706229,nan,1.003988904882363,nan,1.0029203470004575,nan
D i C,3,-13.710034022691021,nan,-14.285870195260195,nan,-14.820302877512352,nan,1.0751611661993234,nan,1.0751661339447312,nan,1.0023999674452366,nan,1.0019489617664328,nan
D ^ S,3,-13.32637262231911,nan,-14.253016651337356,nan,-14.544960467564755,nan,1.1160344288017547,nan,1.115412705711365,nan,1.002433090024331,nan,1.0019613443632003,nan
C ^ J,3,-12.778013988908322,nan,-15.425529593821135,nan,-15.31539207684366,nan,1.1180270836005797,nan,1.1173801762953326,nan,1.000794468718563,nan,1.0009713852340247,nan
z u S,3,-12.174190803656517,nan,-16.332539038060688,nan,-16.1491045228671,nan,1.0526402539343205,nan,1.0529896375321068,nan,1.0019944524411815,nan,1.0017030198087349,nan
n c d,3,-10.482776259413352,nan,-16.209390624058223,nan,-15.186532585224445,nan,1.1119489244118435,nan,1.1113683741721192,nan,1,1,1.0004856926170123,1.0
y ^ J,3,-13.010636284177075,nan,-13.857906231820042,nan,-13.949300423041288,nan,1.1180270836005797,nan,1.1173801762953326,nan,1.003128191005611,nan,1.0024098891899105,nan
p u S,3,-12.040040790535928,nan,-11.478526612937083,nan,-11.724079337649142,nan,1.1174191523051507,nan,1.1167787895565529,nan,1.0051060821572453,nan,1.0036210250832494,nan
y R p,3,-11.997356110978876,nan,-12.2006741232351,nan,-12.547411385457293,nan,1.0881448391010573,nan,1.087930212776143,nan,1.003616512457402,nan,1.0026867876395267,nan
D Y v,3,-14.849266991583953,nan,-inf,nan,-14.433362240001628,nan,1.0654624018607957,nan,1.0656094453325209,nan,1.0008110300081103,nan,1.0009775765324083,nan
s R t,3,-9.270754396679985,nan,-9.623747786300758,nan,-9.762455664858045,nan,1.22489525767182,nan,1.2225696449837646,nan,1.0087557171937416,nan,1.005834502702531,nan
y c G,3,-13.008817211402322,nan,-12.016672540979192,nan,-11.924495344964944,nan,1.0675709856864506,nan,1.0676892468584207,nan,1.0020110137307285,nan,1.0017092111071186,nan
z i C,3,-11.174355047529598,nan,-15.471622453472602,nan,-15.567045757844939,nan,1.0732216782241488,nan,1.0732562790937,nan,1.0027889211597445,nan,1.0021887124257471,nan
S Y v,3,-13.41716309443277,nan,-12.26126741803065,nan,-12.645100945751295,nan,1.0763235345217732,nan,1.0763046324982963,nan,1.0019778911516342,nan,1.0016968285103511,nan
D i S,3,-13.475633316852177,nan,-15.282410953145934,nan,-15.539383440098803,nan,1.0759721962074336,nan,1.0759642185416982,nan,1.000777907429016,nan,1.0009651939356408,nan
S c S,3,-13.383747322523046,nan,-14.052541107492745,nan,-13.894984894287909,nan,1.0642740134269486,nan,1.0644456944857195,nan,1.0020110137307285,nan,1.0017092111071186,nan
f R t,3,-10.437401243393236,nan,-10.379630639998759,nan,-10.523311484076036,nan,1.1574010761357454,nan,1.1561066961678745,nan,1.0056440874776778,nan,1.0039164974280166,nan
g i S,3,-11.731883066810482,nan,-13.430807807084516,nan,-13.447935886860726,nan,1.1035129254549123,nan,1.103084157426343,nan,1.000777907429016,nan,1.0009651939356408,nan
C u v,3,-13.737177552994606,nan,-11.792217380308326,nan,-12.290542404718941,nan,1.0736040268786364,nan,1.0736267395034185,nan,1.0035999511678548,nan,1.0026805963411431,nan
t R t,3,-9.204539429215162,nan,-9.51799931705271,nan,-9.682526765754837,nan,1.15934056411092,nan,1.158016551018906,nan,1.0064219949066937,nan,1.0043959987466453,nan
S R z,3,-11.664483122991866,nan,-9.8211627544362,nan,-10.089858131237456,nan,1.0722769017158458,nan,1.072316349150449,nan,1.0011834224330711,nan,1.0012111358933389,nan
S ^ J,3,-12.543613283069478,nan,-14.892675146946313,nan,-14.811288998838497,nan,1.1191907763856845,nan,1.1185260892059514,nan,1.001572376147579,nan,1.0014508865526532,nan
S u T,3,-14.205313768065544,nan,-12.537827481390304,nan,-13.101808448595664,nan,1.0585471195015352,nan,1.0588109604746918,nan,1.0027723598701974,nan,1.0021825211273636,nan
