word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.765550659890497,nan,-13.280244515891583,nan,-13.107849145072166,nan,1.1124728356626106,nan,1.1120639193270907,nan,1.0002657454158916,nan,1.0005819185480338,nan
b O r,3,-12.865224936396679,nan,-inf,nan,-15.298061321399375,nan,1.1107055308025222,nan,1.1103166857802067,nan,1.0002657454158916,nan,1.0005819185480338,nan
b O s,3,-12.893101305924935,nan,-13.66466562555376,nan,-13.45439757370905,nan,1.0992180492119479,nan,1.09895966772546,nan,1.0005602962259064,nan,1.0007853359605643,nan
b U n,3,-11.22510561894335,nan,-inf,nan,-13.858154739472058,nan,1.1300120331114545,nan,1.12942320391415,nan,1.0010629816635663,nan,1.001149670251289,nan
b u r,3,-10.46732966359831,nan,-11.954977176241963,nan,-12.012448689170904,nan,1.1476441436114513,nan,1.1468763911984077,nan,1.0041590136031124,nan,1.0033164275652307,nan
b U s,3,-11.352656264977785,nan,-inf,nan,-14.022381611314989,nan,1.1167572466607918,nan,1.1163189523125194,nan,1.0010629816635663,nan,1.001149670251289,nan
b W r,3,-11.23925772201137,nan,-13.329629962346367,nan,-13.119794657807768,nan,1.1261187649242335,nan,1.1255718146597438,nan,1.001357532473581,nan,1.0013530876638195,nan
C e D,3,-11.983123809542542,nan,-14.432439474336675,nan,-14.42925887544937,nan,1.0752036443932074,nan,1.0752318884377174,nan,1.0015944724953494,nan,1.0015281713867925,nan
C i D,3,-11.73598998935719,nan,-12.661167643428561,nan,-12.839737651378726,nan,1.0770638623044484,nan,1.0770730246817997,nan,1.003893268187221,nan,1.003127176997479,nan
C O b,3,-14.572984431211996,nan,-inf,nan,-15.874363782722025,nan,1.0299052052463638,nan,1.0303964908279624,nan,1,1,1.0003926679802821,1.0
C O g,3,-14.895034147167985,nan,-inf,nan,-16.01499019919715,nan,1.034912569016614,nan,1.0353469858774673,nan,1,1,1.0003926679802821,1.0
C O v,3,-15.609383535378534,nan,-inf,nan,-15.539999028440377,nan,1.0257814939061576,nan,1.0263196125518994,nan,1,1,1.0003926679802821,1.0
C u D,3,-12.397388471602556,nan,-12.95074545104524,nan,-13.114910686179986,nan,1.0653710640052192,nan,1.0655001682904266,nan,1.0011205924518125,nan,1.0011780039408467,nan
C u S,3,-13.66075599334672,nan,-13.435677829047343,nan,-13.641180632373448,nan,1.0577127429448363,nan,1.0579288229205954,nan,1.0011205924518125,nan,1.0011780039408467,nan
C u T,3,-13.963475943163042,nan,-12.883944947938396,nan,-13.19791006532478,nan,1.0553563364647185,nan,1.0555991781914167,nan,1.0011205924518125,nan,1.0011780039408467,nan
D e C,3,-11.983123809542544,nan,-12.348224653904182,nan,-12.43012396515676,nan,1.0877964666550475,nan,1.0877031338767735,nan,1.006406695375521,nan,1.0049488484511018,nan
D e D,3,-11.173774621323533,nan,-13.380717393437402,nan,-13.329215848274096,nan,1.0930983812353126,nan,1.0929448345174257,nan,1.0061121445655063,nan,1.0047454310385713,nan
D e J,3,-12.514700377413572,nan,-12.147422301539727,nan,-12.375601135240005,nan,1.083967306124856,nan,1.0839174611918578,nan,1.006406695375521,nan,1.0049488484511018,nan
D e S,3,-12.437142143067698,nan,-11.54326205114928,nan,-11.801362060772012,nan,1.0854400601749297,nan,1.0853734891475946,nan,1.0061121445655063,nan,1.0047454310385713,nan
D i C,3,-11.73598998935719,nan,-13.28850565464948,nan,-13.380530104794182,nan,1.0896566845662885,nan,1.0895442701208558,nan,1.0025069303195169,nan,1.0021525904691626,nan
D i D,3,-10.92664080113818,nan,-13.714862590612384,nan,-13.734394937428196,nan,1.0949585991465536,nan,1.094785970761508,nan,1.0030960319395463,nan,1.0025594252942238,nan
D i S,3,-12.190008322882345,nan,-14.275302521122633,nan,-14.351636661827385,nan,1.0873002780861707,nan,1.0872146253916768,nan,1.0022123795095021,nan,1.0019491730566321,nan
D i T,3,-12.492728272698667,nan,-13.395065573041647,nan,-13.610531650862919,nan,1.0849438716060529,nan,1.084884980662498,nan,1.0022123795095021,nan,1.0019491730566321,nan
d u r,3,-10.1637276906158,nan,-11.8151740539304,nan,-11.87323327244706,nan,1.144486248874609,nan,1.1437505771843415,nan,1.0049562498507874,nan,1.0038841792684858,nan
D W C,3,-13.169316530015617,nan,-14.340085763779054,nan,-14.140095506293278,nan,1.0564385075798415,nan,1.0566668371908188,nan,1.0002945508100147,nan,1.0005960853928126,nan
D W D,3,-12.359967341796606,nan,-15.660260575764056,nan,-15.262330940724823,nan,1.0617404221601066,nan,1.061908537831471,nan,1.0005891016200295,nan,1.0007995028053431,nan
D W T,3,-13.926054813357092,nan,-13.45339390916094,nan,-13.484577979154613,nan,1.0517256946196059,nan,1.052007547732461,nan,1.0002945508100147,nan,1.0005960853928126,nan
