word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.323869529531127,nan,-12.830404181010367,nan,-13.066084672545358,nan,1.0711458101489288,nan,1.0712282482617475,nan,1.0019178286994874,nan,1.0017457556441016,nan
g i T,3,-12.592478675465726,nan,-11.697552289420992,nan,-12.014506049390082,nan,1.0838912400271055,nan,1.0838430426578092,nan,1.0011493978459358,nan,1.0011921707856253,nan
z i T,3,-12.356826274459808,nan,-12.949899856627132,nan,-13.216859318310101,nan,1.0788912400271056,nan,1.0788938371355377,nan,1.0019466340936105,nan,1.0017599224888805,nan
y c g,3,-12.660627683786082,nan,-14.820603733041892,nan,-14.372409535059555,nan,1.0640410639184978,nan,1.0641777283651752,nan,1.0005602962259064,nan,1.0007853359605643,nan
l R z,3,-10.806578100393892,nan,-12.320285663528535,nan,-12.346343321857796,nan,1.0917415267719914,nan,1.0915930721227103,nan,1.0011493978459358,nan,1.0011921707856253,nan
J Y p,3,-12.706684921800584,nan,-14.428342850955952,nan,-14.07502123261385,nan,1.0704044772530596,nan,1.0704582730549315,nan,1.0011493978459358,nan,1.0011921707856253,nan
C ^ z,3,-11.29065016574949,nan,-12.126258159525914,nan,-12.278224474298362,nan,1.1149242477253183,nan,1.1145346861866263,nan,1.0046552021719892,nan,1.0036190128912128,nan
C e J,3,-13.324049565632581,nan,-13.199144382439002,nan,-13.47564416241528,nan,1.0660725692827508,nan,1.0662045151121495,nan,1.0018890233053641,nan,1.001731588799323,nan
z i S,3,-12.054106324643486,nan,-13.830136804708118,nan,-13.957964329274567,nan,1.0812476465072234,nan,1.0812234818647164,nan,1.0019466340936105,nan,1.0017599224888805,nan
z u v,3,-12.266237076122295,nan,-15.245810842533484,nan,-15.069464049554083,nan,1.0745622119782445,nan,1.0746011205228485,nan,1.0014151432618272,nan,1.0013814213533772,nan
D Y p,3,-11.365759165710545,nan,-14.451967117413053,nan,-13.92397745601762,nan,1.0919834246214808,nan,1.0918180021510504,nan,1.0011493978459358,nan,1.0011921707856253,nan
s R k,3,-10.176226604458094,nan,-11.01849326748173,nan,-11.104192089878891,nan,1.1417423019057023,nan,1.1410474276374798,nan,1.0024781249253936,nan,1.002138423624384,nan
b R s,3,-10.719297002796814,nan,-10.723474619261383,nan,-10.833185604413801,nan,1.1196804462355991,nan,1.1192121664103627,nan,1.004597591383743,nan,1.0035906792016551,nan
