word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.816147099446608,nan,-10.490533191846417,nan,-11.385161480179784,nan,1.146073849459305,nan,1.1439475647404491,nan,1.0006863417982155,nan,1.0010396446718952,nan
b O r,3,-12.992876842974784,nan,-inf,nan,-12.38914584049975,nan,1.11764575581382,nan,1.1164172003679795,nan,1.0006863417982155,nan,1.0010396446718952,nan
b O s,3,-12.985469401696923,nan,-10.469263989555241,nan,-11.382679908218012,nan,1.1126290334057933,nan,1.1115589007728377,nan,1.0015224621995533,nan,1.0014076976715272,nan
b U n,3,-11.405160125736346,nan,-inf,nan,-12.560734809984023,nan,1.1591143436253997,nan,1.1566480994998074,nan,1.001372683596431,nan,1.0013754405080268,nan
b u r,3,-10.467148198666528,nan,-11.925077908559642,nan,-11.79130883974413,nan,1.1519628457245954,nan,1.1498396602610277,nan,1.0042678293924154,nan,1.0027508810160537,nan
b U s,3,-11.574482427986661,nan,-inf,nan,-12.558253238022251,nan,1.125669527571888,nan,1.124259435532196,nan,1.001372683596431,nan,1.0013754405080268,nan
b W r,3,-11.488799446198513,nan,-inf,nan,-12.40894846779593,nan,1.1286272245852682,nan,1.127112387533755,nan,1.0020590253946466,nan,1.0017112363441585,nan
C e D,3,-12.88207590168394,nan,-inf,nan,-14.950696469588173,nan,1.0730403105294932,nan,1.0732125485890507,nan,1.0020590253946466,nan,1.0017112363441585,nan
C i D,3,-12.178346611793458,nan,-12.87235842738241,nan,-13.561943594630074,nan,1.083335437502726,nan,1.083239286556965,nan,1.0051039497937533,nan,1.0031189340156856,nan
C O b,3,-14.655762589852298,nan,-inf,nan,-15.021069603544081,nan,1.0393848862486026,nan,1.0403930461101054,nan,1,1,1.0007038488357636,1.0
C O g,3,-15.171575755129329,nan,-inf,nan,-14.649506047111599,nan,1.0368765250445893,nan,1.0379638963125344,nan,1,1,1.0007038488357636,1.0
C O v,3,-15.621776757078884,nan,-inf,nan,-13.876436924532511,nan,1.0360404046432514,nan,1.0371541797133441,nan,1,1,1.0007038488357636,1.0
C u D,3,-13.002522054759805,nan,-13.187617267604425,nan,-13.759532623554819,nan,1.066176892547338,nan,1.066528056610441,nan,1.0035814875942,nan,1.002415085179922,nan
C u S,3,-13.243684111576695,nan,-12.684090946320048,nan,-13.184168478651255,nan,1.0628324109419869,nan,1.0632891902136798,nan,1.0027453671928621,nan,1.0020470321802901,nan
C u T,3,-13.6266763638328,nan,-11.607951513503995,nan,-12.596381813749137,nan,1.0611601701393112,nan,1.0616697570152993,nan,1.0035814875942,nan,1.002415085179922,nan
D e C,3,-12.88207590168394,nan,-inf,nan,-13.21881403843906,nan,1.0750469994927039,nan,1.0751682200362476,nan,1.0034317089910776,nan,1.0023828280164218,nan
D e D,3,-12.788549843673117,nan,-inf,nan,-14.424982233328432,nan,1.0750469994927039,nan,1.0751682200362476,nan,1.0034317089910776,nan,1.0023828280164218,nan
D e J,3,-13.412704152746109,nan,-11.316033336011428,nan,-12.317369814681898,nan,1.0683580362820015,nan,1.0686904872427252,nan,1.0042678293924154,nan,1.0027508810160537,nan
D e S,3,-13.029711900490003,nan,-12.225118684164311,nan,-12.751005799756758,nan,1.0717025178873527,nan,1.0719293536394865,nan,1.0034317089910776,nan,1.0023828280164218,nan
D i C,3,-12.178346611793458,nan,-13.310677360361653,nan,-13.686359153846588,nan,1.0853421264659366,nan,1.085194958004162,nan,1.0030449243991066,nan,1.0021115465072907,nan
D i D,3,-12.084820553782635,nan,-13.768846531960387,nan,-14.199380168176015,nan,1.0853421264659366,nan,1.085194958004162,nan,1.0030449243991066,nan,1.0021115465072907,nan
D i S,3,-12.325982610599521,nan,-13.488463761990218,nan,-13.911698095724233,nan,1.0819976448605855,nan,1.081956091607401,nan,1.0022088039977688,nan,1.0017434935076588,nan
D i T,3,-12.708974862855626,nan,-13.10547150973411,nan,-13.729376538930278,nan,1.0803254040579098,nan,1.0803366584090204,nan,1.0030449243991066,nan,1.0021115465072907,nan
d u r,3,-10.051782019575654,nan,-12.704112067080223,nan,-12.48371258112033,nan,1.1352404376978398,nan,1.1335423982010537,nan,1.0035814875942,nan,1.002415085179922,nan
D W C,3,-14.02417330229179,nan,-inf,nan,-13.443797516675275,nan,1.0448479603712215,nan,1.045756455330365,nan,1.0008361204013378,nan,1.0010719018353955,nan
D W D,3,-13.930647244280966,nan,-inf,nan,-15.748578000232758,nan,1.0448479603712215,nan,1.045756455330365,nan,1,1,1.0007038488357636,1.0
D W T,3,-14.554801553353958,nan,-inf,nan,-13.486814901758965,nan,1.0398312379631947,nan,1.0408981557352235,nan,1.0008361204013378,nan,1.0010719018353955,nan
f U n,3,-11.759705143417253,nan,-inf,nan,-13.21180202119702,nan,1.137040765030082,nan,1.135135713580642,nan,1.0006863417982155,nan,1.0010396446718952,nan
f u r,3,-10.821693216347438,nan,-13.471726201152253,nan,-13.135523231517073,nan,1.1298892671292777,nan,1.1283272743418622,nan,1.0015224621995533,nan,1.0014076976715272,nan
f U s,3,-11.929027445667568,nan,-inf,nan,-13.209320449235248,nan,1.1035959489765703,nan,1.1027470496130305,nan,1.0006863417982155,nan,1.0010396446718952,nan
f W r,3,-11.843344463879419,nan,-inf,nan,-13.57084130277492,nan,1.1065536459899505,nan,1.1056000016145895,nan,1.0006863417982155,nan,1.0010396446718952,nan
f ^ r,3,-9.780710040515963,nan,-10.168903955130041,nan,-10.604731285252273,nan,1.1793058766007947,nan,1.1764556165878515,nan,1.0051039497937533,nan,1.0031189340156856,nan
g U n,3,-11.920973291013375,nan,-inf,nan,-12.823822227429876,nan,1.125669527571888,nan,1.1240535753798595,nan,1.0006863417982155,nan,1.0010396446718952,nan
g U S,3,-13.90822478022513,nan,-12.060372272191863,nan,-12.734036923557522,nan,1.0462380894447978,nan,1.0471304984567826,nan,1.0006863417982155,nan,1.0010396446718952,nan
g U T,3,-14.291217032481235,nan,-inf,nan,-13.24486254732351,nan,1.044565848642122,nan,1.045511065258402,nan,1.0006863417982155,nan,1.0010396446718952,nan
g W C,3,-13.667498358353054,nan,-inf,nan,-13.537729336509479,nan,1.0475235456555025,nan,1.0483640172599609,nan,1.0008361204013378,nan,1.0010719018353955,nan
g W D,3,-13.57397230034223,nan,-inf,nan,-15.842509820066962,nan,1.0475235456555025,nan,1.0483640172599609,nan,1,1,1.0007038488357636,1.0
g W T,3,-14.198126609415226,nan,-inf,nan,-13.580746721593169,nan,1.0425068232474757,nan,1.0435057176648193,nan,1.0008361204013378,nan,1.0010719018353955,nan
g ^ r,3,-9.941978188112087,nan,-10.885705326587876,nan,-11.315363780153238,nan,1.1679346391426007,nan,1.165373478387069,nan,1.0030449243991066,nan,1.0021115465072907,nan
h U n,3,-12.068893421089998,nan,-inf,nan,-13.603147104230874,nan,1.1403852466354332,nan,1.1383951659926366,nan,1,1,1.0007038488357636,1.0
