word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.68529302979383,nan,-13.376542518350849,nan,-13.331185929873898,nan,1.1271954018915782,nan,1.1260012068380805,nan,1.001247660636307,nan,1.0012724171610072,nan
b O r,3,-12.811381538511274,nan,-inf,nan,-14.874510284111722,nan,1.1041136801199,nan,1.1034677111011741,nan,1,1,1.0006322122954503,1.0
b O s,3,-13.029694162555819,nan,-13.48549057992946,nan,-13.390924236594644,nan,1.0991230375746723,nan,1.0985956039148161,nan,1,1,1.0006322122954503,1.0
b U n,3,-10.916313588897594,nan,-inf,nan,-13.948669928013318,nan,1.1610634945832001,nan,1.1591022521342478,nan,1.0011883541295306,nan,1.0012564320207935,nan
b u r,3,-10.608168919330431,nan,-12.887543562297783,nan,-12.874111949772338,nan,1.1284749397752774,nan,1.127277234910698,nan,1.0042778524669096,nan,1.002848951614579,nan
b U s,3,-11.260714721659582,nan,-inf,nan,-13.785264683419854,nan,1.1329911302662943,nan,1.1316966492109835,nan,1.0011883541295306,nan,1.0012564320207935,nan
b W r,3,-11.229342600265287,nan,-inf,nan,-13.78426624511413,nan,1.1255040544514507,nan,1.124373634446122,nan,1.0005941770647653,nan,1.0009443221581218,nan
C e D,3,-11.7799009559401,nan,-16.086788778060566,nan,-15.981177512090543,nan,1.0903171783294079,nan,1.090001535715604,nan,1.0023767082590611,nan,1.001880651746137,nan
C i D,3,-11.543408168306893,nan,-15.00808312625761,nan,-15.085159415158845,nan,1.0849695847465202,nan,1.084775054879367,nan,1.005584819609993,nan,1.0035051416203495,nan
C O b,3,-14.668163907670579,nan,-inf,nan,-16.73603215160576,nan,1.0320592847260226,nan,1.0330775272898576,nan,1,1,1.0006322122954503,1.0
C O g,3,-14.809544074087174,nan,-inf,nan,-15.707515067808316,nan,1.0364260969530967,nan,1.037340621077921,nan,1,1,1.0006322122954503,1.0
C O v,3,-15.49413200125145,nan,-inf,nan,-15.640511055507321,nan,1.0295639634534086,nan,1.0306414736966785,nan,1,1,1.0006322122954503,1.0
C u D,3,-12.192307093402498,nan,-14.413251422432284,nan,-14.544612601630789,nan,1.0695209810626225,nan,1.0696763324635716,nan,1.0023767082590611,nan,1.001880651746137,nan
C u S,3,-14.170943935960366,nan,-13.938691976650688,nan,-14.151870311450592,nan,1.047063089609098,nan,1.04775185012496,nan,1.0030005385772145,nan,1.0022007541789153,nan
C u T,3,-14.472419330544483,nan,-13.300744345445358,nan,-13.657622346704416,nan,1.0408247864275633,nan,1.0416617161420125,nan,1.0023767082590611,nan,1.001880651746137,nan
D e C,3,-11.779900955940098,nan,-12.879086253790492,nan,-12.556449633018195,nan,1.1110714076706016,nan,1.1103266658230118,nan,1.0136660724896018,nan,1.0078107391368984,nan
D e D,3,-10.370617076595508,nan,-14.393730648792907,nan,-14.174137444924437,nan,1.130410147533359,nan,1.1292060811701494,nan,1.0136660724896018,nan,1.0078107391368984,nan
D e J,3,-12.363047241285715,nan,-11.708153303542757,nan,-11.970696402245439,nan,1.1042092741709135,nan,1.1036275184417692,nan,1.0142899028077552,nan,1.0081308415696768,nan
D e S,3,-12.34925391915338,nan,-11.904268182469046,nan,-12.10741872117257,nan,1.1079522560798345,nan,1.1072815988315379,nan,1.0136660724896018,nan,1.0078107391368984,nan
D i C,3,-11.543408168306893,nan,-13.820560679630644,nan,-13.899535749501107,nan,1.105723814087714,nan,1.1051001849867748,nan,1.0042481992135215,nan,1.0028409590444722,nan
D i D,3,-10.134124288962305,nan,-15.435288533190043,nan,-15.29408001009314,nan,1.1250625539504713,nan,1.1239796003339124,nan,1.0073673508042889,nan,1.0044414712083647,nan
D i S,3,-12.112761131520175,nan,-14.791652757364513,nan,-14.836799198775372,nan,1.1026046624969468,nan,1.1020551179953009,nan,1.003624368895368,nan,1.0025208566116939,nan
D i T,3,-12.414236526104292,nan,-13.460557945599238,nan,-13.782935446093774,nan,1.096366359315412,nan,1.0959649840123533,nan,1.0023767082590611,nan,1.001880651746137,nan
d u r,3,-10.250250967152102,nan,-11.14925980393881,nan,-11.265482855761938,nan,1.131380227398752,nan,1.130118144001607,nan,1.0036836754021443,nan,1.0025368417519074,nan
D W C,3,-12.813480774337354,nan,-inf,nan,-15.408658319319215,nan,1.0873043250799896,nan,1.0870978621064031,nan,1,1,1.0006322122954503,1.0
D W D,3,-11.404196894992765,nan,-inf,nan,-17.496349760471194,nan,1.106643064942747,nan,1.1059772774535408,nan,1.001247660636307,nan,1.0012724171610072,nan
D W T,3,-13.68430913213475,nan,-inf,nan,-14.146925711608878,nan,1.0779468703076878,nan,1.0779626611319817,nan,1,1,1.0006322122954503,1.0
