word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.03246306037276,nan,-11.195126005580665,nan,-11.238980463272757,nan,1.0723280198255145,nan,1.0723396339481823,nan,1.0030208883356164,nan,1.0028689541939775,nan
b i l,3,-10.183588955335557,nan,-11.11577138669084,nan,-11.149651076515976,nan,1.1037134107981204,nan,1.103646104134109,nan,1.0051085832653242,nan,1.004773297548141,nan
b i s,3,-9.971249346892318,nan,-11.11314281311984,nan,-11.145100981133712,nan,1.1081605102272987,nan,1.108081721479359,nan,1.0055068309753998,nan,1.0051350266130714,nan
b R s,3,-11.04750298058784,nan,-11.82451892093204,nan,-11.86033826335125,nan,1.0813173864368,nan,1.0813037914756225,nan,1.001885376441375,nan,1.0018329015201215,nan
b Y s,3,-10.678542010859065,nan,-11.205900742262266,nan,-11.243853874648478,nan,1.0866860111948997,nan,1.0866593774763698,nan,1.003067519208634,nan,1.002912864197821,nan
b ^ l,3,-9.782357989846592,nan,-10.148300205026016,nan,-10.185790601433053,nan,1.1218169128893871,nan,1.1217056383226756,nan,1.008915629005437,nan,1.0082293774733535,nan
C @ l,3,-12.018275628710535,nan,-14.10526872289783,nan,-14.125089626971645,nan,1.0747846495222875,nan,1.0747875129797986,nan,1.001299851123459,nan,1.0013001348269128,nan
C i D,3,-11.917503130541165,nan,-13.399876624260472,nan,-13.456663594337076,nan,1.0761023383841806,nan,1.0761039136523194,nan,1.0019130176848352,nan,1.0018558309632244,nan
C i n,3,-11.254161664199898,nan,-12.833138880003169,nan,-12.886441286833005,nan,1.0991343309502233,nan,1.0990764393060763,nan,1.0022448907765649,nan,1.0021572718506664,nan
C R J,3,-15.010740950982775,nan,-14.891842808567535,nan,-14.924708911916428,nan,1.0254971012258338,nan,1.0256252223112774,nan,1.0005073044523731,nan,1.000579952331781,nan
C R g,3,-13.237378846894435,nan,-14.751780218745047,nan,-14.712925322392158,nan,1.0435509974159307,nan,1.0436325046681127,nan,1.0006400536890652,nan,1.0007005286867579,nan
C R T,3,-14.650556547407767,nan,-14.797554524927685,nan,-14.793637545132768,nan,1.0271564666844823,nan,1.0272803034102511,nan,1.0005073044523731,nan,1.000579952331781,nan
C ^ J,3,-13.53325635179829,nan,-15.094824452620248,nan,-15.18855850900011,nan,1.0704437271075993,nan,1.0704626865035805,nan,1.0008858084171204,nan,1.0009253032230665,nan
C ^ n,3,-10.852930698710933,nan,-11.318053151125763,nan,-11.39299491229784,nan,1.11723783304149,nan,1.1171359734946429,nan,1.0078551433434446,nan,1.007255561859348,nan
C ^ S,3,-13.06471864023505,nan,-14.030775709848857,nan,-14.145350638146526,nan,1.0722358418029398,nan,1.0722501740904722,nan,1.001350430745542,nan,1.0013473204654852,nan
C ^ C,3,-13.117428456654578,nan,-13.262489688790987,nan,-13.402109063181335,nan,1.0725013402763235,nan,1.072514987066308,nan,1.0018150530739636,nan,1.001769337707904,nan
d i k,3,-9.921934610605962,nan,-11.461886543593195,nan,-11.48753196040313,nan,1.1075846655654324,nan,1.1075092363610541,nan,1.0034934081621696,nan,1.0032975227058545,nan
d i s,3,-9.610629392390745,nan,-11.527854956122198,nan,-11.5498135421324,nan,1.1199303445777782,nan,1.1198230397374196,nan,1.0037589066355534,nan,1.003538675415808,nan
d i t,3,-9.06388091485374,nan,-10.910523300722721,nan,-10.93222190245265,nan,1.149002427413302,nan,1.1488200605914414,nan,1.0044226528190128,nan,1.004141557190692,nan
d E p,3,-10.99620818425278,nan,-14.97127085777796,nan,-14.868912027497691,nan,1.0772310085551686,nan,1.077230784065752,nan,1.0005191506995703,nan,1.000589779235968,nan
d R s,3,-10.686883026086267,nan,-11.575469783897695,nan,-11.608338671135316,nan,1.0930872207872795,nan,1.093045109733683,nan,1.0023223575263367,nan,1.0022319893194374,nan
D i D,3,-10.316346838938786,nan,-13.370218470079191,nan,-13.360272023886356,nan,1.0988947160152678,nan,1.098841069644119,nan,1.0022251470312364,nan,1.0021408936770213,nan
