word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.111799695920864,nan,-11.292290527323285,nan,-11.464171881296107,nan,1.1460017935504037,nan,1.1457946716681258,nan,1.0013834459450879,nan,1.0013694050488093,nan
b O r,3,-13.392697931691128,nan,-inf,nan,-16.401197642224336,nan,1.1282910207166799,nan,1.1281355940265612,nan,1.0005784108162823,nan,1.0006487551536312,nan
b O s,3,-13.327562293214966,nan,-12.275919736196807,nan,-12.408425007138872,nan,1.1291692408571952,nan,1.1290112507691181,nan,1.0013102609333784,nan,1.001303891421975,nan
b U n,3,-12.763493001652648,nan,-14.109755514411363,nan,-13.601892671523911,nan,1.148604642223674,nan,1.148390014469654,nan,1.0010854039402035,nan,1.0011030964649965,nan
b u r,3,-11.251651856308508,nan,-15.441541683464859,nan,-15.33279220000802,nan,1.1478123857662064,nan,1.147600665038024,nan,1.0013772603273676,nan,1.0013644419595882,nan
b U s,3,-12.97925559894675,nan,-12.83731964592573,nan,-12.84139770512825,nan,1.1317720895304655,nan,1.1316065935706463,nan,1.0012317739636227,nan,1.0012341237186653,nan
b W r,3,-12.842651594771857,nan,-14.65528019096992,nan,-14.628971760181777,nan,1.13212299237455,nan,1.1319565153732556,nan,1.0009425685554816,nan,1.0009749052623114,nan
C e D,3,-16.42542852699152,nan,-16.711146431235495,nan,-16.853391291465567,nan,1.0332096263822381,nan,1.0333309277198277,nan,1.0007247808397015,nan,1.0007797824073,nan
C i D,3,-15.792818141863151,nan,-15.803311775416711,nan,-16.12731156346953,nan,1.0513572657430943,nan,1.0514262344749281,nan,1.0007988495110853,nan,1.0008460050468801,nan
C O b,3,-15.757790263385527,nan,-inf,nan,-18.442164068828244,nan,1.0388577197430944,nan,1.0389618668843579,nan,1.0000723013520352,nan,1.0001951228550114,nan
C O g,3,-16.226009770837763,nan,-inf,nan,-18.09257348916503,nan,1.030148703349652,nan,1.0302782708540017,nan,1.0000723013520352,nan,1.0001951228550114,nan
C O v,3,-16.06122069280545,nan,-inf,nan,-16.92285622776983,nan,1.0379794996025793,nan,1.038086210141801,nan,1.0000723013520352,nan,1.0001951228550114,nan
C u D,3,-16.98069739649269,nan,-14.997367131485143,nan,-15.120786244724176,nan,1.0337157358464852,nan,1.0338355777090138,nan,1.0001454863637447,nan,1.0002606364818458,nan
C u S,3,-13.885995956249335,nan,-12.770936527414293,nan,-12.863659991494904,nan,1.0393509817481246,nan,1.0394543751404208,nan,1.000291856387164,nan,1.0003916637355146,nan
C u T,3,-15.30571340616072,nan,-13.462748933734243,nan,-13.530579694217963,nan,1.0383995765958998,nan,1.0385057470026509,nan,1.000438226410583,nan,1.0005226909891833,nan
D e C,3,-16.425428526991524,nan,-18.383097249058334,nan,-18.037786583867902,nan,1.0305181477307848,nan,1.0306470476926903,nan,1.0002186713754544,nan,1.0003261501086802,nan
