word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.01603046920041,nan,-11.971288465452457,nan,-11.999356727845822,nan,1.155636979000921,nan,1.155403628805079,nan,1.0076454536042363,nan,1.0069781660669328,nan
b i l,3,-10.098471152771102,nan,-11.141909424956783,nan,-11.16068270197335,nan,1.1608153409621014,nan,1.1605658713935434,nan,1.0048175005004711,nan,1.0044442032837502,nan
b i s,3,-9.999738093084822,nan,-11.418099526670147,nan,-11.436725530233748,nan,1.1662393679356409,nan,1.165974042116338,nan,1.005037393485885,nan,1.004641014935,nan
b R s,3,-10.254246391854606,nan,-10.398460899722354,nan,-10.428395965124222,nan,1.1616767955138565,nan,1.1614246487021267,nan,1.005473675947385,nan,1.005031828102292,nan
b Y s,3,-11.07104793732019,nan,-11.185582086002759,nan,-11.21427893476345,nan,1.1568245359541809,nan,1.1565864049124097,nan,1.003780822707225,nan,1.0035173185056292,nan
b ^ l,3,-8.97400548527666,nan,-7.345533252317469,nan,-7.3788301996287124,nan,1.2107863722483123,nan,1.21039256116824,nan,1.0184061958522017,nan,1.0166106964373414,nan
C @ l,3,-11.909675483630776,nan,-11.36443240881296,nan,-11.427822569733031,nan,1.1480839184160072,nan,1.1478711809651228,nan,1.0089247971935233,nan,1.008120128375151,nan
C i D,3,-15.922412243080082,nan,-15.511561168673795,nan,-15.881043100618875,nan,1.0507188515125683,nan,1.0507897635375087,nan,1.0010182843692779,nan,1.0010426368019802,nan
C i n,3,-11.224055342365872,nan,-12.201059102357677,nan,-12.256028240708407,nan,1.14036189189958,nan,1.1401707472399132,nan,1.0032905118852202,nan,1.0030763571982277,nan
C R J,3,-13.397066608618669,nan,-11.944950717480902,nan,-12.051537059210872,nan,1.0569310353760584,nan,1.056983628180741,nan,1.0013891520649598,nan,1.001374168889739,nan
C R g,3,-13.257349629261435,nan,-14.21401485177127,nan,-14.26800674797418,nan,1.0622817646877933,nan,1.0623187155153897,nan,1.0010959614177415,nan,1.0011117533547393,nan
C R T,3,-14.466130135155474,nan,-13.324665116643592,nan,-13.425935091009219,nan,1.052020092035151,nan,1.0520870411749672,nan,1.0007294731087186,nan,1.0007837339359897,nan
C ^ J,3,-12.018092642354443,nan,-12.009543458559069,nan,-12.11910069112648,nan,1.1114646390840537,nan,1.111359711369649,nan,1.0018271862811237,nan,1.001766387124635,nan
C ^ n,3,-10.099589674871428,nan,-9.107714464975539,nan,-9.190378570471337,nan,1.1903329231857909,nan,1.1899974370146098,nan,1.0222772339246038,nan,1.020069870690862,nan
C ^ S,3,-11.6896299412845,nan,-15.12945477625173,nan,-15.187645691714732,nan,1.1059673144487097,nan,1.1058784572587084,nan,1.0009476143394687,nan,1.000979140519636,nan
C ^ C,3,-12.85680970528298,nan,-14.23329003221982,nan,-14.349665931330666,nan,1.1045013612126178,nan,1.1044167894957908,nan,1.0010209120012732,nan,1.0010447444033859,nan
d i k,3,-9.694348665522398,nan,-10.801336065878672,nan,-10.822096993501749,nan,1.16164304789641,nan,1.161391730034064,nan,1.0063401097290627,nan,1.0058085367002636,nan
d i s,3,-9.53925360938546,nan,-10.71704459250182,nan,-10.734701164135991,nan,1.1821663932016946,nan,1.1818550787149087,nan,1.0064134073908675,nan,1.0058741405840135,nan
d i t,3,-9.356837663993577,nan,-9.949632273253975,nan,-9.970029873097998,nan,1.1704387673129606,nan,1.1701617366115689,nan,1.0067065980380858,nan,1.0061365561190132,nan
d E p,3,-10.34618619019092,nan,-11.389784937569907,nan,-11.41529780280279,nan,1.1807615708950165,nan,1.180455664825949,nan,1.0111923692887383,nan,1.010156927146785,nan
d R s,3,-9.793761908155242,nan,-10.373219751565609,nan,-10.396669346814067,nan,1.1776038207799102,nan,1.1773056853006973,nan,1.0050391452405483,nan,1.0046424200026036,nan
D i D,3,-17.863549113382735,nan,-17.5467016936663,nan,-18.08555166375507,nan,1.0441308546979733,nan,1.0442207893081,nan,1.0004389100934956,nan,1.0005234260023956,nan
D i g,3,-14.943978200794309,nan,-17.41705164774975,nan,-17.625727558937324,nan,1.0602563402949827,nan,1.0602991347001922,nan,1.000732100740714,nan,1.0007858415373954,nan
D i C,3,-15.92241224308008,nan,-16.76452089073596,nan,-17.00475984117915,nan,1.0479423331118118,nan,1.0480211254916854,nan,1.0004389100934956,nan,1.0005234260023956,nan
d I J,3,-10.716702871712144,nan,-9.338699709540899,nan,-9.39165323629195,nan,1.1796653812183338,nan,1.1793635146531394,nan,1.029572612630181,nan,1.0266299269589656,nan
d I D,3,-13.496556804943337,nan,-12.475721466426613,nan,-12.82634170005112,nan,1.1688906249330593,nan,1.1686202565956958,nan,1.0278134687468707,nan,1.0250554337489677,nan
d Y p,3,-11.257774309549575,nan,-12.353450249617062,nan,-12.37281922607225,nan,1.1339770981256074,nan,1.1338063291818128,nan,1.0065372299038493,nan,1.0059870824726656,nan
d Y t,3,-10.428147508228943,nan,-9.728459639179267,nan,-9.765110073263394,nan,1.1610239353315004,nan,1.1607740994076405,nan,1.007123611198286,nan,1.006511913542665,nan
d I T,3,-11.78576639824895,nan,-10.771942754492956,nan,-10.870438666045736,nan,1.1747544378774264,nan,1.1744669276473656,nan,1.0286197430267212,nan,1.0257770764702168,nan
d I Z,3,-12.908770140041218,nan,-12.450403658442324,nan,-12.653286694589044,nan,1.1679377553295998,nan,1.1676701725497993,nan,1.0276668734232617,nan,1.024924225981468,nan
f i k,3,-10.333992290911203,nan,-11.625413788902616,nan,-11.648326897319349,nan,1.1424582220077544,nan,1.1422622995857856,nan,1.0048916740396074,nan,1.004510509701302,nan
f i s,3,-10.178897234774265,nan,-11.541122315525765,nan,-11.56093106795359,nan,1.162981567313039,nan,1.1627256482666304,nan,1.0049649717014122,nan,1.004576113585052,nan
f R s,3,-10.433405533544047,nan,-10.350845280214696,nan,-10.384570060227222,nan,1.1584189948912547,nan,1.158176254852419,nan,1.0055460977318578,nan,1.0050967294522402,nan
f R t,3,-10.250989588152164,nan,-10.05824790378232,nan,-10.089902398434964,nan,1.1466913690025207,nan,1.1464829127490792,nan,1.004959716437421,nan,1.004571898382241,nan
f Y k,3,-11.40530213514657,nan,-10.841521711580292,nan,-10.883252371244714,nan,1.1330433900262944,nan,1.1328746623818573,nan,1.004893425794271,nan,1.0045119147689057,nan
f ^ l,3,-9.1531646269661,nan,-8.096850228120442,nan,-8.131300103429604,nan,1.2075285716257105,nan,1.2071441673185324,nan,1.016450807671437,nan,1.014858359988743,nan
g e s,3,-11.106650733265228,nan,-11.438544168002517,nan,-11.473359297942254,nan,1.125329605825133,nan,1.125182423402003,nan,1.003067115390479,nan,1.0028767354117707,nan
g W d,3,-13.93672656033872,nan,-13.45344886412093,nan,-13.343634923555811,nan,1.064180038803679,nan,1.0642110394116222,nan,1.000803646647855,nan,1.0008500403535416,nan
g W r,3,-13.385198863589668,nan,-16.204219302362436,nan,-15.991554895766985,nan,1.106033003694099,nan,1.1059416540429166,nan,1.0005104560006366,nan,1.000587624818542,nan
g W z,3,-15.062470193058193,nan,-14.146023973701865,nan,-13.990620311068,nan,1.0512796503260715,nan,1.0513483630979483,nan,1.0002905630152228,nan,1.000390813167292,nan
