word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-inf,nan,-inf,nan,-inf,nan,1.1428571428571428,nan,1.074074074074074,nan,1,1,1,1
b O r,3,-inf,nan,-inf,nan,-inf,nan,1.1428571428571428,nan,1.074074074074074,nan,1,1,1,1
b O s,3,-inf,nan,-inf,nan,-inf,nan,1.1428571428571428,nan,1.074074074074074,nan,1,1,1,1
b U n,3,-inf,nan,-inf,nan,-inf,nan,1.1428571428571428,nan,1.074074074074074,nan,1,1,1,1
b u r,3,-inf,nan,-inf,nan,-inf,nan,1.2678571428571428,nan,1.1574074074074074,nan,1,1,1.0024570024570025,1.0
b U s,3,-inf,nan,-inf,nan,-inf,nan,1.1428571428571428,nan,1.074074074074074,nan,1,1,1,1
b W r,3,-inf,nan,-inf,nan,-inf,nan,1.2053571428571428,nan,1.1296296296296298,nan,1,1,1.0024570024570025,1.0
C e D,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.0648148148148147,1.0,1,1,1.0024570024570025,1.0
C i D,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.037037037037037,1.0,1,1,1,1
C O b,3,-inf,-inf,-inf,-inf,-inf,-inf,1,1,1,1,1,1,1,1
C O g,3,-inf,-inf,-inf,-inf,-inf,-inf,1,1,1,1,1,1,1,1
C O v,3,-inf,nan,-inf,nan,-inf,nan,1.1428571428571428,nan,1.074074074074074,nan,1,1,1,1
C u D,3,-inf,nan,-inf,-inf,-inf,-inf,1.125,nan,1.1203703703703702,nan,1,1,1.0024570024570025,1.0
C u S,3,-inf,nan,-inf,-inf,-inf,-inf,1.125,nan,1.0833333333333333,nan,1,1,1,1
