weight,feature
-0.927852,sigmoid( Pstop )
5.17068,U h i
7.12648,U h i r
3.54205,U i r
10.9395,U D ^
2.02373,U ^
8.00366,U I t
4.9174,U k I t i
2.81059,U c
5.42863,U c r
5.78535,U m c r g i
4.26384,U s
4.37525,U m i
6.19715,U w ^ n
5.87983,U w ^ n t
1.4549,U W
5.35309,U W t
3.82653,U o
10.2492,U o k e
3.29798,U e
7.69783,U I z
6.42196,U z
5.56778,U w ^ t
6.21949,U w ^ t s
7.65478,U g ^ n x
7.06609,U d u
7.10942,U n o
6.55308,U i t
7.54466,U I G
3.05025,U d c g
2.81766,U f u d
3.96987,U w ^ z
8.00838,U D @ t
4.08855,U @ t
4.61383,U z e
4.28128,U r ^ n
9.61312,U y u
4.53332,U s I t
3.45267,U ^ s
6.47761,U J ^ s t
6.48304,U f c r
4.45743,U m Y
2.1463,U Y
0.288142,U n u
4.49993,U e m Y n u t
1.1927,U o k i d o k i
3.92405,U y R
6.63513,U ^ o
4.43803,U d I d
5.67435,U d W n
1.85424,U a
7.25075,U a n
5.99528,U w a n x
7.75489,U D @ t s
4.67357,U s o
5.26666,U D E n
5.87802,U k ^ m
2.00814,U ^ m
6.12614,U g E t
3.27617,U m a m
6.10444,U m a m i
5.61153,U k ^ m a n
7.48585,U g o
1.45459,U s E d
1.00202,U S
2.2327,U S u
4.87992,U p U t
7.7756,U ^ p
7.95045,U y u r
4.02994,U s ^ C e
3.95872,U g U d
5.74902,U g R l
3.35827,U l E t
5.80375,U l E t s
3.33186,U w c k
4.85209,U D e
6.8961,U D e r
5.0563,U b I g
6.23496,U a r
3.5793,U y u l
7.14286,U l I t x l
0.883462,U x l
1.34168,U b u
6.22471,U W ^ t C x
1.25401,U h R
2.6661,U h R t
5.21933,U l U k
5.60869,U l U k @ t
1.88692,U k @ t
5.22117,U s t @ n d
8.24799,U @ n d
7.27816,U s e
3.94597,U t c k
7.42141,U x b W t
4.23158,U c l
1.28237,U h E v i
6.2801,U n W
6.04824,U w i
4.80522,U w i r
5.093,U h @ v
8.13364,U t u
5.41424,U t e k
6.80741,U D I s
2.33319,U s t ^ f
4.45589,U s t e
5.19654e-05,U s t e r z
4.69892,U s i
4.82296,U h Y
7.4993,U y U r
2.4824,U b e b
5.97733,U b e b i
3.47068,U b i
5.15116,U I n
1.81643,U m I r R
3.39626,U w e
4.44418,U w e r
3.78588,U w e r z
4.33572,U D e r z
5.97129,U x g E n
5.568,U E v r i
2.76975,U b E t R
2.52317,U w o
3.93584,U m a m i z
7.05297,U k @ n
5.44478,U k @ n t
4.3973,U Y m
1.00851,U Y m s a r i
7.38263,U p l e
7.74807,U w I D
2.21587,U r u m
2.94935,U b a t x l
3.20965,U l ^ v
6.00963,U ^ v
4.2538,U w c t R
4.69682,U g a t
7.39683,U g a t x
2.64634,U r I G
3.11804,U d r I G k
4.82484,U t x d e
0.142066,U d e
6.02086,U s ^ m
4.28313,U J u s
2.56872,U l e t R
2.29311,U t O
2.45246,U t O z
3.75821,U p r I t i
3.90302,U r @ k u n
2.10462,U t e s t
1.60113,U t e s t i
6.61605,U ^ D R
1.89187,U h @ z
5.94747,U l Y k
3.91065,U I n J
1.8688,U s R k x l
4.93582,U h ^
4.31618,U d @ d @
6.52558,U n a t
4.18795,U w E n
2.99748,U w E n t
0.160925,U w R
1.92659,U w R k
4.97858,U b @ k
4.15678,U w I l
1.66469,U f o r
3.50989,U r E d
2.11208,U y E l o
1.24396,U b l u
9.01872,U I t s
2.21783,U m I s t R
5.97568,U Y d o n t
6.55124,U d o n t
5.53536,U b x k c z
4.81959,U c l m o s t
4.54608,U v E r i
4.24621,U w E l
1.60469,U S i
0.114396,U k c l
5.89973,U c f
6.2338,U D E m
3.02144,U w Y
5.26399,U o p x n
5.21439,U m W T
0.340304,U p ^ t
6.46262,U T I G
2.30207,U f Y v
4.31574,U T r i
3.30528,U g r i n
2.53053,U b i t
1.03249,U h E d
5.16354,U I n t
0.445209,U t I d
3.85296,U s Y d
3.31041,U w o n t
2.38836,U t E n
5.57447,U E n i
6.34423,U W t ^ v
3.50001,U Y l
2.89081,U T R s t i
1.40312,U h o l
2.16941,U h o l d
0.137974,U p e
1.75563,U s W n d
0.00711244,U O G k O G k
5.84928,U I G @ t
2.32301,U r e n
